,count,unique,top,freq,mean,std,min,25%,50%,75%,max
chrom,323,1,chr1,323,,,,,,,
start,323.0,,,,206587535.10526314,2629.5635884883804,206583089.0,206586494.5,206587035.0,206587532.5,206597139.0
end,323.0,,,,206587536.10526314,2629.5635884883804,206583090.0,206586495.5,206587036.0,206587533.5,206597140.0
name,323,1,.,323,,,,,,,
score,323.0,,,,2.914822209806094,4.841631520744743,-0.3456456679759867,-0.21062461648656944,0.8045578733235175,3.6699343473756576,26.142163733654115
strand,323,2,+,180,,,,,,,
samplea_counts,323,254,m:1,26,,,,,,,
samplea_total,323.0,,,,779.0278637770898,350.1489866982269,1.0,706.5,853.0,1028.5,1268.0
sampleb_counts,323,145,m:1,35,,,,,,,
sampleb_total,323.0,,,,122.14241486068111,59.39549120528255,1.0,101.5,126.0,172.0,209.0
samplea_percents,323,282,m:100.00,32,,,,,,,
sampleb_percents,323,268,m:100.00,40,,,,,,,
samplea_fraction_modified,323.0,,,,0.7036445872321981,0.27750420627230143,0.0,0.50153,0.7793345,0.9448635,1.0
sampleb_fraction_modified,323.0,,,,0.7672246219814242,0.227230656274916,0.0,0.645255075,0.853211,0.93618182,1.0
map_pvalue,323.0,,,,0.6635636462360849,0.42357387095662763,5.93637967948e-05,0.19238133771007665,1.0,1.0,1.0
effect_size,323.0,,,,-0.06363732705424274,0.1642323360060898,-1.0,-0.12,-0.02,0.0099999999999998,1.0
cohen_h,323.0,,,,-0.15528489623743486,0.48007972053457887,-3.141592653589793,-0.29511473909582303,-0.0711079662853766,0.0202059694154863,3.141592653589793
cohen_h_low,323.0,,,,-0.24497325426301242,0.8166382097808738,-2.7718076486993555,-0.1353349369494068,-0.0407130612191349,0.11613482563063421,0.448117231691868
cohen_h_high,323.0,,,,0.7355048861339621,1.0185549786386174,0.150579255084439,0.26452139132322156,0.3657739448690563,0.6219137912646628,5.913400302289149
