,count,unique,top,freq,mean,std,min,25%,50%,75%,max
chrom,285,1,chr1,285,,,,,,,
start,285.0,,,,206586753.59298247,1314.851936699923,206583090.0,206586303.0,206586989.0,206587276.0,206590033.0
end,285.0,,,,206586754.59298247,1314.851936699923,206583091.0,206586304.0,206586990.0,206587277.0,206590034.0
name,285,1,.,285,,,,,,,
score,285.0,,,,46.52107465374539,40.03244705256721,-0.3394609870305203,9.928374379173192,40.67432672378942,71.93901850361709,166.18539254056213
strand,285,2,-,143,,,,,,,
samplea_counts,285,140,m:82,6,,,,,,,
samplea_total,285.0,,,,129.20350877192982,41.17132687513549,2.0,103.0,120.0,168.0,197.0
sampleb_counts,285,69,m:0,79,,,,,,,
sampleb_total,285.0,,,,82.7859649122807,18.811887897453836,1.0,77.0,86.0,95.0,107.0
samplea_percents,285,261,m:100.00,5,,,,,,,
sampleb_percents,285,154,m:0.00,79,,,,,,,
samplea_fraction_modified,285.0,,,,0.7411386685614034,0.21957623772454682,0.11881188,0.6136364,0.82300884,0.91812867,1.0
sampleb_fraction_modified,285.0,,,,0.24748434349649123,0.37586458673088174,0.0,0.0,0.021052632,0.28723404,1.0
map_pvalue,285.0,,,,0.17074416149746216,0.3665031591346235,0.0,0.0,0.0,9.71204213246e-05,1.0
effect_size,285.0,,,,0.4936262513793242,0.3332832905525966,-0.5,0.22,0.5876543209876544,0.75,0.96
cohen_h,285.0,,,,1.3061726285801165,0.8806130531124285,-1.5707963267948963,0.7038191768853113,1.5011918774453834,1.974532863395588,2.740038080748917
cohen_h_low,285.0,,,,1.0566884247538675,0.8411362471573104,-2.4004558381776544,0.4134454829263854,1.2083171426992183,1.6954946761605398,2.494597540537918
cohen_h_high,285.0,,,,1.6746995827117757,0.7826481034027378,0.2506517471679313,1.0791256357848011,1.819557581448374,2.2749218762308807,3.7621026782363503
