,count,unique,top,freq,mean,std,min,25%,50%,75%,max
chrom,286,1,chr1,286,,,,,,,
start,286.0,,,,206586740.77972028,1330.3100827321684,206583089.0,206586291.0,206586988.5,206587275.25,206590033.0
end,286.0,,,,206586741.77972028,1330.3100827321684,206583090.0,206586292.0,206586989.5,206587276.25,206590034.0
name,286,1,.,286,,,,,,,
score,286.0,,,,0.14256158676606062,0.7845600221039869,-0.3450022351889288,-0.29954003247178207,-0.13141049037940886,0.21691204226799243,6.540444255865765
strand,286,2,+,143,,,,,,,
samplea_counts,286,141,m:82,6,,,,,,,
samplea_total,286.0,,,,128.76573426573427,41.76052464027352,2.0,103.0,120.0,167.75,197.0
sampleb_counts,286,119,m:72,7,,,,,,,
sampleb_total,286.0,,,,97.63636363636364,34.41797683168787,1.0,73.25,86.0,128.75,153.0
samplea_percents,286,261,m:100.00,5,,,,,,,
sampleb_percents,286,260,m:100.00,7,,,,,,,
samplea_fraction_modified,286.0,,,,0.7411696522377623,0.21919130404256604,0.11881188,0.613798725,0.821760835,0.9179921025,1.0
sampleb_fraction_modified,286.0,,,,0.7358712495804196,0.2250013122153802,0.0625,0.60493827,0.8,0.921135975,1.0
map_pvalue,286.0,,,,0.8723869105762447,0.26365347431865377,0.0010489328419064,1.0,1.0,1.0,1.0
effect_size,286.0,,,,0.005318178150039172,0.06471701740204629,-0.3541666666666667,-0.026651893634165924,0.0,0.03362202313815217,0.2598566308243727
cohen_h,286.0,,,,0.006820154814962863,0.16613664341175002,-1.047197551196598,-0.0818485103945538,0.0035568618337258,0.0911333204738192,0.6356603633504164
cohen_h_low,286.0,,,,-0.18539797737611466,0.20402538041252072,-2.4004558381776544,-0.22809671982702234,-0.1717168280628135,-0.11598617387175231,0.2993710417723532
cohen_h_high,286.0,,,,0.4161805637004344,0.2782529509619725,0.2219691144539357,0.30349977552072027,0.3554103040371325,0.4474230608082741,3.2385039026380515
