,count,unique,top,freq,mean,std,min,25%,50%,75%,max
chrom,285,1,chr1,285,,,,,,,
start,285.0,,,,206586753.59298247,1314.851936699923,206583090.0,206586303.0,206586989.0,206587276.0,206590033.0
end,285.0,,,,206586754.59298247,1314.851936699923,206583091.0,206586304.0,206586990.0,206587277.0,206590034.0
name,285,1,.,285,,,,,,,
score,285.0,,,,46.37973061692233,39.95963958561483,-0.3394609870305203,9.75716671345188,39.98412116264453,71.49505006675275,166.18539254056213
strand,285,2,-,143,,,,,,,
samplea_counts,285,65,m:0,79,,,,,,,
samplea_total,285.0,,,,82.42456140350878,18.84981675763434,1.0,77.0,85.0,95.0,107.0
sampleb_counts,285,140,m:82,6,,,,,,,
sampleb_total,285.0,,,,129.20350877192982,41.17132687513549,2.0,103.0,120.0,168.0,197.0
samplea_percents,285,160,m:0.00,79,,,,,,,
sampleb_percents,285,261,m:100.00,5,,,,,,,
samplea_fraction_modified,285.0,,,,0.24757324211929824,0.375890640425144,0.0,0.0,0.021052632,0.28723404,1.0
sampleb_fraction_modified,285.0,,,,0.7411386685614034,0.21957623772454682,0.11881188,0.6136364,0.82300884,0.91812867,1.0
map_pvalue,285.0,,,,0.17076274534185784,0.36649795799739604,0.0,0.0,0.0,0.0001042578048928,1.0
effect_size,285.0,,,,-0.49353735271666554,0.3332875610302134,-0.96,-0.75,-0.5875,-0.22,0.5
cohen_h,285.0,,,,-1.3056312241043964,0.8808354601286214,-2.740038080748917,-1.974532863395588,-1.4942904375387354,-0.7038191768853113,1.5707963267948963
cohen_h_low,285.0,,,,1.0561222869471247,0.8407734357276787,-2.4004558381776544,0.4124752142940135,1.2083171426992183,1.6953345814976963,2.494597540537918
cohen_h_high,285.0,,,,1.6748900799806485,0.7823687122285845,0.2506517471679313,1.0791256357848011,1.819557581448374,2.2747554308405733,3.7621026782363503
