,count,unique,top,freq,mean,std,min,25%,50%,75%,max
chrom,286,1,chr1,286,,,,,,,
start,286.0,,,,206586740.77972028,1330.3100827321684,206583089.0,206586291.0,206586988.5,206587275.25,206590033.0
end,286.0,,,,206586741.77972028,1330.3100827321684,206583090.0,206586292.0,206586989.5,206587276.25,206590034.0
name,286,1,.,286,,,,,,,
score,286.0,,,,0.1537881124001207,0.8173907306578361,-0.3444166003258715,-0.2937470348648645,-0.14341501413736066,0.27336679474089465,7.613050954712264
strand,286,2,+,143,,,,,,,
samplea_counts,286,143,m:130,6,,,,,,,
samplea_total,286.0,,,,137.8146853146853,42.826421518451255,2.0,112.25,131.5,176.0,209.0
sampleb_counts,286,122,m:76,8,,,,,,,
sampleb_total,286.0,,,,102.93006993006993,37.573348215662705,1.0,76.0,89.0,137.75,164.0
samplea_percents,286,267,m:100.00,5,,,,,,,
sampleb_percents,286,257,m:100.00,6,,,,,,,
samplea_fraction_modified,286.0,,,,0.7441033318181818,0.21683092279052893,0.14414415,0.62037815,0.81857365,0.9181445725,1.0
sampleb_fraction_modified,286.0,,,,0.7392601396153846,0.22373935227646763,0.07575758,0.613361355,0.8055829999999999,0.922186125,1.0
map_pvalue,286.0,,,,0.8624141851888081,0.2710554476029135,0.0003606537562769,1.0,1.0,1.0,1.0
effect_size,286.0,,,,0.004610450736624743,0.06223053092925592,-0.3,-0.0242986425339366,0.0,0.0312962962962963,0.2750700280112045
cohen_h,286.0,,,,0.005809408483293624,0.16104997488077627,-1.047197551196598,-0.08036801672869215,-0.0038755912456218,0.09405565943115703,0.6675317674422092
cohen_h_low,286.0,,,,-0.17848945357483523,0.19691655886506396,-2.4004558381776544,-0.21742017735366956,-0.16521849833894858,-0.11255260905090222,0.3416956582998193
cohen_h_high,286.0,,,,0.405040546638056,0.26936443919236625,0.2144241905654115,0.2967741705583309,0.3504865676353355,0.42605809410097173,3.2385039026380515
map_pval_less005,286,2,False,282,,,,,,,
