,count,unique,top,freq,mean,std,min,25%,50%,75%,max
chrom,286,1,chr1,286,,,,,,,
start,286.0,,,,206586740.77972028,1330.3100827321684,206583089.0,206586291.0,206586988.5,206587275.25,206590033.0
end,286.0,,,,206586741.77972028,1330.3100827321684,206583090.0,206586292.0,206586989.5,206587276.25,206590034.0
name,286,1,.,286,,,,,,,
score,286.0,,,,290.9983016489146,321.8185241659601,-0.3450721646931924,20.184724010230298,193.0367935981476,433.1680261727074,1318.0758759432329
strand,286,2,+,143,,,,,,,
samplea_counts,286,257,m:656,3,,,,,,,
samplea_total,286.0,,,,1203.0244755244755,303.55871034598385,19.0,1051.0,1207.5,1403.75,1792.0
sampleb_counts,286,152,m:15,9,,,,,,,
sampleb_total,286.0,,,,609.7517482517483,130.0346158248732,12.0,579.25,636.5,684.0,795.0
samplea_percents,286,280,m:94.17,2,,,,,,,
sampleb_percents,286,261,m:1.20,3,,,,,,,
samplea_fraction_modified,286.0,,,,0.6966196031643357,0.2451622325375697,0.07007007,0.5152111125000001,0.7590857449999999,0.91704585,1.0
sampleb_fraction_modified,286.0,,,,0.28215027282972027,0.36731936871708787,0.0,0.0218036145,0.0604740635,0.5029533225,0.98985505
map_pvalue,286.0,,,,0.23370420745139184,0.4162795607930502,0.0,0.0,6.68995e-12,0.08004900493950062,1.0
effect_size,286.0,,,,0.4147951863065782,0.3186797760407056,-0.0984848484848485,0.1125,0.43499999999999994,0.6775,0.97
cohen_h,286.0,,,,1.0457593556566347,0.8018878905861478,-0.2475642938213331,0.337419961570018,1.059507303835081,1.6436853842917685,2.646434964954092
cohen_h_low,286.0,,,,0.9577330020778473,0.7891426454194443,-0.6145661713212007,0.21770420366686918,0.964582978776376,1.5496639414487687,2.5532300698760024
cohen_h_high,286.0,,,,1.1718672260634406,0.768832964188316,0.0858823537452723,0.5096352628169434,1.1623066377660283,1.737706827134768,2.7396398600321814
