,count,unique,top,freq,mean,std,min,25%,50%,75%,max
chrom,286,1,chr1,286,,,,,,,
start,286.0,,,,206586740.77972028,1330.3100827321684,206583089.0,206586291.0,206586988.5,206587275.25,206590033.0
end,286.0,,,,206586741.77972028,1330.3100827321684,206583090.0,206586292.0,206586989.5,206587276.25,206590034.0
name,286,1,.,286,,,,,,,
score,286.0,,,,9.365564266124155,19.956386177582274,-0.3441778638917867,0.310701511883849,3.2291609670825494,10.790625229898426,183.5827342873201
strand,286,2,+,143,,,,,,,
samplea_counts,286,219,m:422,4,,,,,,,
samplea_total,286.0,,,,561.7342657342657,128.81854236416194,11.0,523.0,585.0,633.75,743.0
sampleb_counts,286,119,m:72,7,,,,,,,
sampleb_total,286.0,,,,97.63636363636364,34.41797683168787,1.0,73.25,86.0,128.75,153.0
samplea_percents,286,285,m:87.94,2,,,,,,,
sampleb_percents,286,260,m:100.00,7,,,,,,,
samplea_fraction_modified,286.0,,,,0.6659594986363636,0.21159287439973185,0.0,0.52992313,0.7064694,0.8367853749999999,0.993865
sampleb_fraction_modified,286.0,,,,0.7358712495804196,0.2250013122153802,0.0625,0.60493827,0.8,0.921135975,1.0
map_pvalue,286.0,,,,0.3684947622530657,0.4291212784254012,0.0,0.00142361824738655,0.1250714840102776,1.0,1.0
effect_size,286.0,,,,-0.06974232859649046,0.22421797583602543,-1.0,-0.18,-0.0599999999999999,0.0285771276595744,0.8206349206349206
cohen_h,286.0,,,,-0.1959049309384307,0.5368306889851994,-3.141592653589793,-0.46931646263335414,-0.2207118709884219,0.0694463225432594,1.9124714596588883
cohen_h_low,286.0,,,,0.1626253169264774,0.34656814110057743,-0.4922812591742572,-0.08826674513750325,0.09143704073406045,0.3298290961447257,1.7215055060681486
cohen_h_high,286.0,,,,0.6525394529460535,0.5135226218475707,0.1872406732734592,0.36026671091331675,0.5266619696894943,0.7870879477639777,5.188708270707727
