,count,unique,top,freq,mean,std,min,25%,50%,75%,max
chrom,286,1,chr1,286,,,,,,,
start,286.0,,,,206586740.77972028,1330.3100827321684,206583089.0,206586291.0,206586988.5,206587275.25,206590033.0
end,286.0,,,,206586741.77972028,1330.3100827321684,206583090.0,206586292.0,206586989.5,206587276.25,206590034.0
name,286,1,.,286,,,,,,,
score,286.0,,,,9.922382292025247,21.03426510936687,-0.3448415485736404,0.5537435003441784,3.6643360347834744,11.237454637898876,195.55106916593093
strand,286,2,+,143,,,,,,,
samplea_counts,286,231,m:610,3,,,,,,,
samplea_total,286.0,,,,644.1258741258741,150.00602875056032,12.0,589.5,671.0,737.5,869.0
sampleb_counts,286,122,m:76,8,,,,,,,
sampleb_total,286.0,,,,102.93006993006993,37.573348215662705,1.0,76.0,89.0,137.75,164.0
samplea_percents,286,279,m:61.06,3,,,,,,,
sampleb_percents,286,257,m:100.00,6,,,,,,,
samplea_fraction_modified,286.0,,,,0.6710724385874125,0.20832850917091564,0.0,0.53777047,0.7087468,0.8421294324999999,0.9944598
sampleb_fraction_modified,286.0,,,,0.7392601396153846,0.22373935227646763,0.07575758,0.613361355,0.8055829999999999,0.922186125,1.0
map_pvalue,286.0,,,,0.36099877536367514,0.42797085692492093,0.0,0.0014617280140722501,0.1070532441112209,1.0,1.0
effect_size,286.0,,,,-0.06795933203320528,0.22291913316721496,-1.0,-0.18,-0.0599999999999999,0.029012345679012324,0.8242424242424242
cohen_h,286.0,,,,-0.1930518338110185,0.5346721067671386,-3.141592653589793,-0.459349132371254,-0.21690356275327471,0.0675813226385434,1.931030753070236
cohen_h_low,286.0,,,,0.16865090403150143,0.34371687282498736,-0.4364134273314686,-0.06700806478395455,0.09955007886975735,0.3330252738248692,1.7179782637173555
cohen_h_high,286.0,,,,0.6437988004015855,0.5083807773570149,0.179543642348813,0.35600069822208585,0.5282168430825853,0.7794627723549724,5.181587846987391
