chrom,start,end,name,score,strand,samplea_counts,samplea_total,sampleb_counts,sampleb_total,samplea_percents,sampleb_percents,samplea_fraction_modified,sampleb_fraction_modified,map_pvalue,effect_size,cohen_h,cohen_h_low,cohen_h_high
chr1,206583089,206583090,.,3.218875824868202,+,m:0,12,m:1,1,m:0.00,m:100.00,0.0,1.0,0.0398279827022978,-1.0,-3.141592653589793,1.1015974601921958,5.181587846987391
chr1,206583090,206583091,.,1.8607523407150124,-,m:1,12,m:1,1,m:8.33,m:100.00,0.083333336,1.0,0.1298962821160515,-0.9166666666666666,-2.555907101146904,0.5159119077493064,4.595902294544501
chr1,206583173,206583174,.,-0.1943360412289507,+,m:496,572,m:108,122,m:86.71,m:88.52,0.86713284,0.8852459,1.0,-0.02,-0.0550280017842048,-0.1404283986785436,0.2504844022469534
chr1,206583174,206583175,.,2.189272728643914,-,m:610,664,m:86,88,m:91.87,m:97.73,0.9186747,0.97727275,0.1931914830865062,-0.0572727272727272,-0.2757147541743516,0.0533675691382249,0.4980619392104783
chr1,206583387,206583388,.,151.02822891001608,+,m:57,710,m:103,125,m:8.03,m:82.40,0.08028169,0.824,0.0,-0.74,-1.7012013181242178,1.5110903611890314,1.891312275059404
chr1,206583388,206583389,.,71.08615769291654,-,m:63,426,m:62,73,m:14.79,m:84.93,0.14788732,0.84931505,0.0,-0.6993150684931506,-1.5548125222409603,1.3065380117894887,1.803087032692432
chr1,206583707,206583708,.,195.55106916593093,+,m:81,679,m:142,153,m:11.93,m:92.81,0.11929308,0.9281046,0.0,-0.81,-1.893378087057726,1.7179782637173555,2.0687779103980968
chr1,206583708,206583709,.,114.02070080557183,-,m:51,545,m:69,75,m:9.36,m:92.00,0.09357798,0.92,0.0,-0.8300000000000001,-1.9463015210133685,1.70491386756473,2.187689174462007
chr1,206583766,206583767,.,113.29503426162944,+,m:158,629,m:132,145,m:25.12,m:91.03,0.25119236,0.91034484,0.0,-0.66,-1.4834643437413242,1.302909456848954,1.6640192306336945
chr1,206583767,206583768,.,59.63938701369853,-,m:213,575,m:76,78,m:37.04,m:97.44,0.3704348,0.974359,0.0,-0.6043589743589743,-1.5112771340981352,1.2747813201622131,1.7477729480340574
chr1,206584104,206584105,.,18.651944588830816,+,m:535,696,m:146,152,m:76.87,m:96.05,0.7686782,0.9605263,0.0002191627427728,-0.1899999999999999,-0.603475390308589,0.4279986317752771,0.7789521488419009
chr1,206584105,206584106,.,16.05382781541124,-,m:464,633,m:79,81,m:73.30,m:97.53,0.7330174,0.97530866,6.2241968528e-06,-0.2453086419753086,-0.7704150737105282,0.5391272165619418,1.0017029308591143
chr1,206584137,206584138,.,16.919495161900727,+,m:748,864,m:161,162,m:86.57,m:99.38,0.8657407,0.99382716,0.0016603817471297,-0.12,-0.5930073644414708,0.4252014001135045,0.7608133287694372
chr1,206584138,206584139,.,1.8839454615211932,-,m:438,540,m:60,66,m:81.11,m:90.91,0.8111111,0.90909094,0.1885734284013255,-0.099090909090909,-0.2866635534561954,0.0310902094694181,0.5422368974429728
chr1,206584151,206584152,.,2.5158420593505757,+,m:747,797,m:150,153,m:93.73,m:98.04,0.93726474,0.98039216,1.0,-0.04,-0.2253521632363901,0.0523565790864698,0.3983477473863105
chr1,206584152,206584153,.,0.9225361579198648,-,m:654,695,m:87,89,m:94.10,m:97.75,0.9410072,0.9775281,1.0,-0.0375280898876404,-0.1897292122001936,-0.0309282996551273,0.4103867240555147
chr1,206584176,206584177,.,0.6535080786443359,+,m:809,826,m:159,160,m:97.94,m:99.38,0.9794189,0.99375,1.0,-0.01,-0.129636545745118,-0.0396554923656829,0.298928583855919
chr1,206584177,206584178,.,-0.087991107789719,-,m:696,723,m:84,86,m:96.27,m:97.67,0.9626556,0.9767442,1.0,-0.0167441860465116,-0.0827489566649948,-0.1408161275368107,0.3063140408668003
chr1,206584178,206584179,.,-0.2811165192091494,+,m:829,846,m:160,164,m:97.99,m:97.56,0.9799054,0.9756098,1.0,0.0,0.0291623661363407,-0.1380628139682652,0.1963875462409466
chr1,206584179,206584180,.,0.3295852702567856,-,m:617,664,m:75,78,m:92.92,m:96.15,0.92921686,0.96153843,1.0,-0.0315384615384615,-0.1437968594259309,-0.090798114112334,0.3783918329641958
chr1,206584201,206584202,.,-0.3323726083779661,+,m:668,698,m:104,109,m:95.70,m:95.41,0.95702004,0.95412844,1.0,0.01,0.0140360357899331,-0.1878210030767086,0.2158930746565749
chr1,206584202,206584203,.,0.6986167707069626,-,m:735,744,m:91,91,m:98.79,m:100.00,0.98790324,1.0,1.0,-0.01,-0.2204164879433845,0.0027537113886312,0.4380792644981378
chr1,206584227,206584228,.,4.08930895056983,+,m:700,781,m:142,147,m:89.63,m:96.60,0.8962868,0.9659864,0.1226752877280017,-0.0699999999999999,-0.2847989401335939,0.108585960516364,0.4610119197508239
chr1,206584228,206584229,.,0.8031643852569914,-,m:647,673,m:88,89,m:96.14,m:98.88,0.961367,0.98876405,1.0,-0.0287640449438202,-0.1832831360859734,-0.0377834177975895,0.4043496899695364
chr1,206584272,206584273,.,-0.2009023174423418,+,m:739,844,m:135,157,m:87.56,m:85.99,0.8755924,0.85987264,1.0,0.02,0.0464198429746165,-0.1239309189003542,0.2167706048495873
chr1,206584273,206584274,.,-0.334711130351252,-,m:603,744,m:74,92,m:81.05,m:80.43,0.8104839,0.8043478,1.0,0.0056521739130435,0.0155611984271719,-0.2010449840435538,0.2321673808978978
chr1,206584304,206584305,.,1.1190604785823552,+,m:799,860,m:156,162,m:92.91,m:96.30,0.92906976,0.962963,1.0,-0.0299999999999999,-0.151844953482108,-0.0160226173942208,0.3197125243584369
chr1,206584305,206584306,.,-0.1692727757966281,-,m:605,673,m:79,86,m:89.90,m:91.86,0.8989599,0.9186047,1.0,-0.0186046511627906,-0.0683241626302186,-0.1561220189111353,0.2927703441715726
chr1,206584395,206584396,.,10.209021661382168,+,m:701,867,m:149,158,m:80.85,m:94.30,0.80853516,0.943038,0.0177529179372739,-0.1299999999999999,-0.4237958823599026,0.2542559789089531,0.5933357858108521
chr1,206584396,206584397,.,2.2580461804173524,-,m:554,695,m:76,85,m:79.71,m:89.41,0.7971223,0.89411765,0.2016965741689508,-0.0941176470588235,-0.2716099293699883,0.0463968923065595,0.496822966433417
chr1,206584407,206584408,.,8.025520240295009,+,m:722,841,m:153,159,m:85.85,m:96.23,0.8585018,0.9622642,0.0406614953112873,-0.0999999999999999,-0.3803020291658554,0.2108091211695241,0.5497949371621867
chr1,206584408,206584409,.,3.1783940715000654,-,m:643,740,m:86,90,m:86.89,m:95.56,0.8689189,0.95555556,0.1046459393644281,-0.0855555555555556,-0.3161105637267667,0.0973092009476563,0.534911926505877
chr1,206584411,206584412,.,6.59589277519899,+,m:620,712,m:155,161,m:87.08,m:96.27,0.8707865,0.9627329,0.066155949092492,-0.0899999999999999,-0.3468513801520192,0.1758095723752234,0.517893187928815
chr1,206584412,206584413,.,21.021853727787686,-,m:370,607,m:76,81,m:60.96,m:93.83,0.6095552,0.9382716,3.629341048e-07,-0.3282716049382715,-0.8477300132549899,0.6158808914815808,1.079579135028399
chr1,206584946,206584947,.,6.2696095839840496,+,m:530,746,m:120,141,m:71.05,m:85.11,0.7104558,0.85106385,0.0546589926644683,-0.14,-0.3439312427632748,0.1639484730155078,0.5239140125110417
chr1,206584947,206584948,.,9.471689552178589,-,m:444,627,m:76,83,m:70.81,m:91.57,0.708134,0.91566265,0.0014142537695084,-0.2056626506024096,-0.5521510691241924,0.323220151650046,0.7810819865983388
chr1,206585234,206585235,.,5.15906879341992,+,m:488,678,m:114,134,m:71.98,m:85.07,0.719764,0.8507463,0.0784739519320033,-0.13,-0.3224165141413597,0.1371235795577419,0.5077094487249776
chr1,206585235,206585236,.,7.704663876788686,-,m:414,653,m:70,83,m:63.40,m:84.34,0.63399696,0.8433735,0.0043549115807742,-0.2133734939759036,-0.4856940984597615,0.2572965903205139,0.7140916065990092
chr1,206585379,206585380,.,5.388539626704642,+,m:600,774,m:131,147,m:77.52,m:89.12,0.7751938,0.89115644,0.1072538851729153,-0.1099999999999999,-0.3155419269202153,0.1392027706864733,0.4918810831539573
chr1,206585380,206585381,.,3.9107111681720994,-,m:472,598,m:75,82,m:78.93,m:91.46,0.78929764,0.91463417,0.0575493611297391,-0.1246341463414634,-0.3607918267284677,0.1299869243309764,0.5915967291259591
chr1,206585797,206585798,.,10.600090913817668,+,m:482,700,m:126,145,m:68.86,m:86.90,0.68857145,0.8689655,0.0078703193293847,-0.18,-0.4432900158945798,0.2644587608848913,0.6221212709042684
chr1,206585798,206585799,.,-0.3424585298881766,-,m:297,483,m:39,63,m:61.49,m:61.90,0.61490685,0.61904764,1.0,-0.009047619047619,-0.0085180136963518,-0.2540250641558759,0.2710610915485796
chr1,206585896,206585897,.,15.599796468833349,+,m:582,818,m:146,161,m:71.15,m:90.68,0.71149147,0.9068323,0.0011286415942292,-0.2,-0.5136935647473,0.3447079067682345,0.6826792227263655
chr1,206585897,206585898,.,7.566907518931259,-,m:514,705,m:79,87,m:72.91,m:90.80,0.729078,0.90804595,0.0058316652346919,-0.1780459770114942,-0.4786964935552458,0.2559778889253495,0.701415098185142
chr1,206586020,206586021,.,18.95937673577089,+,m:212,712,m:79,136,m:29.78,m:58.09,0.2977528,0.5808824,0.0003419555557233,-0.2799999999999999,-0.5789046080749907,0.3954888833597048,0.7623203327902766
chr1,206586021,206586022,.,11.331513371753315,-,m:211,617,m:52,84,m:34.20,m:61.90,0.3419773,0.61904764,0.0006570932864683,-0.279047619047619,-0.56196259708905,0.3340203239377628,0.7899048702403373
chr1,206586120,206586121,.,9.931512467752498,+,m:151,760,m:55,145,m:19.87,m:37.93,0.19868422,0.37931034,0.0240738628786522,-0.18,-0.4030076945861353,0.2253918998692137,0.5806234893030569
