chrom,start,end,name,score,strand,samplea_counts,samplea_total,sampleb_counts,sampleb_total,samplea_percents,sampleb_percents,samplea_fraction_modified,sampleb_fraction_modified,map_pvalue,effect_size,cohen_h,cohen_h_low,cohen_h_high
chr1,206583089,206583090,.,-0.0312525435041024,+,m:3,4,m:1,1,m:75.00,m:100.00,0.75,1.0,1.0,-0.25,-1.047197551196598,-1.1441088002448558,3.2385039026380515
chr1,206583090,206583091,.,-0.2776317365982791,-,m:2,2,m:1,1,m:100.00,m:100.00,1.0,1.0,1.0,0.0,0.0,-2.4004558381776544,2.4004558381776544
chr1,206583173,206583174,.,-0.020160660028921,+,m:139,152,m:108,122,m:91.45,m:88.52,0.9144737,0.8852459,1.0,0.02,0.0976108257793137,-0.140633004743204,0.3358546563018316
chr1,206583174,206583175,.,0.1387955963828062,-,m:120,126,m:86,88,m:95.24,m:97.73,0.95238096,0.97727275,1.0,-0.0272727272727273,-0.1373108129424873,-0.1349771037237847,0.4095987296087595
chr1,206583387,206583388,.,0.5249406865498258,+,m:134,176,m:103,125,m:76.14,m:82.40,0.7613636,0.824,0.5456238765566085,-0.0599999999999999,-0.1549086388880618,-0.0743469851164077,0.3841642628925313
chr1,206583388,206583389,.,-0.3427678624272232,-,m:91,107,m:62,73,m:85.05,m:84.93,0.85046726,0.84931505,1.0,0.0006849315068493,0.0032258959855249,-0.2943042837890736,0.3007560757601235
chr1,206583707,206583708,.,-0.3430194573081735,+,m:183,197,m:142,153,m:92.89,m:92.81,0.92893404,0.9281046,1.0,0.0,0.0032196334188969,-0.2079849237276176,0.2144241905654115
chr1,206583708,206583709,.,0.6030411014102128,-,m:113,117,m:69,75,m:96.58,m:92.00,0.96581197,0.92,1.0,0.0499999999999999,0.2015727073314028,-0.0883452678202637,0.4914906824830694
chr1,206583766,206583767,.,0.0145495313960282,+,m:156,177,m:132,145,m:88.14,m:91.03,0.88135594,0.91034484,1.0,-0.03,-0.0951210483072384,-0.1244147725332926,0.3146568691477696
chr1,206583767,206583768,.,0.0697197967928673,-,m:112,118,m:76,78,m:94.92,m:97.44,0.9491525,0.974359,1.0,-0.0243589743589743,-0.1332588467582951,-0.1527555022327569,0.4192731957493472
chr1,206584104,206584105,.,-0.135968040155717,+,m:174,184,m:146,152,m:94.57,m:96.05,0.9456522,0.9605263,1.0,-0.01,-0.0705607864610287,-0.1442653036445084,0.2853868765665659
chr1,206584105,206584106,.,-0.145175509375349,-,m:119,124,m:79,81,m:95.97,m:97.53,0.9596774,0.97530866,1.0,-0.0153086419753086,-0.0887814826707291,-0.191227310330374,0.3687902756718323
chr1,206584137,206584138,.,0.7152194116579267,+,m:200,205,m:161,162,m:97.56,m:99.38,0.9756098,0.99382716,1.0,-0.01,-0.1563343145364184,-0.0497033817361275,0.3623720108089644
chr1,206584138,206584139,.,0.0860216080276643,-,m:81,94,m:60,66,m:86.17,m:90.91,0.86170214,0.90909094,1.0,-0.0473887814313346,-0.1495212988612726,-0.1652333750111612,0.4642759727337065
chr1,206584151,206584152,.,-0.2928203012259018,+,m:191,194,m:150,153,m:98.45,m:98.04,0.9845361,0.98039216,1.0,0.0,0.0316261253860266,-0.1802910945814743,0.2435433453535275
chr1,206584152,206584153,.,-0.2604468989571842,-,m:125,129,m:87,89,m:96.90,m:97.75,0.96899223,0.9775281,1.0,-0.0075280898876404,-0.0530793336152348,-0.2169969689503567,0.3231556361808265
chr1,206584176,206584177,.,0.7620969474720596,+,m:192,197,m:159,160,m:97.46,m:99.38,0.97461927,0.99375,1.0,-0.02,-0.1617107268952509,-0.0468771648849978,0.3702986186754996
chr1,206584177,206584178,.,-0.1649778147525467,-,m:130,135,m:84,86,m:96.30,m:97.67,0.962963,0.9767442,1.0,-0.0167441860465116,-0.0811245648430398,-0.1892887786622037,0.3515379083482835
chr1,206584178,206584179,.,-0.2980897566327485,+,m:196,200,m:160,164,m:98.00,m:97.56,0.98,0.9756098,1.0,0.0,0.0298372469305099,-0.1766350841406216,0.2363095780016415
chr1,206584179,206584180,.,-0.2958118969153531,-,m:122,128,m:75,78,m:95.31,m:96.15,0.953125,0.96153843,1.0,-0.0115384615384616,-0.0416777659840357,-0.239855303293543,0.3232108352616144
chr1,206584201,206584202,.,-0.3056758034377367,+,m:161,170,m:104,109,m:94.71,m:95.41,0.9470588,0.95412844,1.0,0.0,-0.032642116841965,-0.2078564446227065,0.2731406783066366
chr1,206584202,206584203,.,0.644717666802876,-,m:141,143,m:91,91,m:98.60,m:100.00,0.986014,1.0,1.0,-0.01,-0.2370796060959019,-0.0257457762226697,0.4999049884144736
chr1,206584227,206584228,.,-0.3196179804523353,+,m:176,183,m:142,147,m:96.17,m:96.60,0.96174866,0.9659864,1.0,-0.01,-0.0227172789069505,-0.1943632388394634,0.2397977966533644
chr1,206584228,206584229,.,-0.1242426894230561,-,m:131,134,m:88,89,m:97.76,m:98.88,0.97761196,0.98876405,1.0,-0.0087640449438202,-0.0879821168114953,-0.180029192276373,0.3559934258993638
chr1,206584272,206584273,.,-0.310238579682391,+,m:170,200,m:135,157,m:85.00,m:85.99,0.85,0.85987264,1.0,-0.01,-0.0280377776217655,-0.1809483096690879,0.2370238649126189
chr1,206584273,206584274,.,0.6234021584894549,-,m:123,141,m:74,92,m:87.23,m:80.43,0.87234044,0.8043478,0.4695415796373894,0.0656521739130434,0.1856410469298537,-0.0770362759983103,0.4483183698580178
chr1,206584304,206584305,.,0.013014380394452,+,m:186,197,m:156,162,m:94.42,m:96.30,0.9441624,0.962963,1.0,-0.02,-0.0897954798979463,-0.1180806845310407,0.2976716443269335
chr1,206584305,206584306,.,1.591845137661949,-,m:126,129,m:79,86,m:97.67,m:91.86,0.9767442,0.9186047,0.151011965799283,0.0613953488372093,0.2724441399206099,-0.0004054090437253,0.5452936888849451
chr1,206584395,206584396,.,0.2032575711474464,+,m:198,205,m:149,158,m:96.59,m:94.30,0.96585363,0.943038,1.0,0.03,0.1102752471873014,-0.0972141598346075,0.3177646542092104
chr1,206584396,206584397,.,1.1838362167392802,-,m:130,136,m:76,85,m:95.59,m:89.41,0.9558824,0.89411765,0.2229444897002062,0.0658823529411763,0.2396245196937441,-0.0313729967617295,0.5106220361492178
chr1,206584407,206584408,.,-0.2972653117703885,+,m:182,188,m:153,159,m:96.81,m:96.23,0.9680851,0.9622642,1.0,0.01,0.0317770201020497,-0.179394497789408,0.2429485379935075
chr1,206584408,206584409,.,-0.2838952041086031,-,m:135,140,m:86,90,m:96.43,m:95.56,0.96428573,0.95555556,1.0,0.0044444444444443,0.0445732996986514,-0.2202320389217715,0.3093786383190744
chr1,206584411,206584412,.,-0.2503801077804155,+,m:185,194,m:155,161,m:95.36,m:96.27,0.9536083,0.9627329,1.0,-0.01,-0.0456440730751586,-0.1633088565583071,0.2545970027086244
chr1,206584412,206584413,.,0.3438250440584056,-,m:107,110,m:76,81,m:97.27,m:93.83,0.9727273,0.9382716,1.0,0.0317283950617284,0.1703547091242607,-0.1166083032219905,0.457317721470512
chr1,206584946,206584947,.,-0.2395265242120672,+,m:159,191,m:120,141,m:83.25,m:85.11,0.83246076,0.85106385,1.0,-0.02,-0.0509924897669504,-0.1666235451335485,0.2686085246674495
chr1,206584947,206584948,.,-0.2206085285708354,-,m:111,124,m:76,83,m:89.52,m:91.57,0.8951613,0.91566265,1.0,-0.0156626506024095,-0.0701527319621342,-0.2078079541292735,0.3481134180535419
chr1,206585234,206585235,.,-0.205130919531598,+,m:143,164,m:114,134,m:87.20,m:85.07,0.8719512,0.8507463,1.0,0.02,0.0614013698304849,-0.1668334490162124,0.2896361886771823
chr1,206585235,206585236,.,-0.3140285549643238,-,m:98,118,m:70,83,m:83.05,m:84.34,0.8305085,0.8433735,1.0,-0.0133734939759037,-0.034831080626712,-0.2459488548432203,0.3156110160966444
chr1,206585379,206585380,.,-0.1187604379047115,+,m:163,188,m:131,147,m:86.70,m:89.12,0.86702126,0.89115644,1.0,-0.02,-0.0741146661987643,-0.1416761225975344,0.2899054549950631
chr1,206585380,206585381,.,-0.338050734932608,-,m:112,122,m:75,82,m:91.80,m:91.46,0.91803277,0.91463417,1.0,0.0053658536585365,0.0122749084020221,-0.2676079709809287,0.2921577877849731
chr1,206585797,206585798,.,-0.3205160402052343,+,m:157,179,m:126,145,m:87.71,m:86.90,0.877095,0.8689655,1.0,0.01,0.0244202039808141,-0.1945626338303335,0.2434030417919618
chr1,206585798,206585799,.,7.613050954712264,-,m:76,85,m:39,63,m:89.41,m:61.90,0.89411765,0.61904764,0.0003606537562769,0.2750700280112045,0.6675317674422092,0.3416956582998193,0.993367876584599
chr1,206585896,206585897,.,0.3232131433771883,+,m:171,197,m:146,161,m:86.80,m:90.68,0.8680203,0.9068323,1.0,-0.04,-0.1232256786603001,-0.085004443183561,0.3314558005041612
chr1,206585897,206585898,.,-0.3247518943212526,-,m:119,130,m:79,87,m:91.54,m:90.80,0.9153846,0.90804595,1.0,0.0119540229885057,0.0258721197734619,-0.245613390566495,0.2973576301134188
chr1,206586020,206586021,.,1.6137684755410646,+,m:116,168,m:79,136,m:69.05,m:58.09,0.6904762,0.5808824,0.3469247070567907,0.1099999999999999,0.228347420214366,0.0022681264830438,0.4544267139456882
chr1,206586021,206586022,.,0.4388541580094625,-,m:83,118,m:52,84,m:70.34,m:61.90,0.7033898,0.61904764,0.4450688760362285,0.0809523809523808,0.1785218309620191,-0.1012752176212446,0.4583188795452829
chr1,206586120,206586121,.,0.1937596420006571,+,m:59,182,m:55,145,m:32.42,m:37.93,0.32417583,0.37931034,0.2319195783353058,-0.06,-0.1155443619810745,-0.1026292754050299,0.333717999367179
chr1,206586121,206586122,.,-0.2802021510181589,-,m:32,118,m:25,85,m:27.12,m:29.41,0.27118644,0.29411766,1.0,-0.0241176470588235,-0.050934952232617,-0.2278989928910552,0.3297688973562892
chr1,206586163,206586164,.,1.8226047527934952,+,m:135,161,m:93,126,m:83.85,m:73.81,0.8385093,0.7380952,0.2169757919028302,0.0999999999999999,0.247386772046505,0.0142607093822758,0.4805128347107342
chr1,206586164,206586165,.,0.4910245046064574,-,m:105,121,m:59,74,m:86.78,m:79.73,0.8677686,0.7972973,0.4460668208875202,0.0727027027027027,0.1896978920844461,-0.0995411081290647,0.4789368922979569
chr1,206586168,206586169,.,0.7860158277143796,+,m:69,88,m:51,58,m:78.41,m:87.93,0.78409094,0.87931037,0.3106217743754977,-0.0952194357366771,-0.256898790330446,-0.074590258925949,0.5883878395868412
chr1,206586169,206586170,.,-0.1786378972566993,-,m:15,18,m:17,19,m:83.33,m:89.47,0.8333333,0.8947368,0.8719178592081034,-0.0614035087719297,-0.1802233769464178,-0.4644443065323484,0.8248910604251842
chr1,206586173,206586174,.,0.4835260274484767,+,m:151,162,m:112,126,m:93.21,m:88.89,0.93209875,0.8888889,1.0,0.04,0.1524306935842116,-0.0803792657988098,0.3852406529672332
chr1,206586174,206586175,.,-0.0199836314298451,-,m:34,41,m:21,28,m:82.93,m:75.00,0.8292683,0.75,0.7426260062758537,0.0792682926829267,0.1952736729961341,-0.2852355105371657,0.6757828565294342
chr1,206586175,206586176,.,0.2104494184928853,+,m:154,166,m:98,110,m:92.77,m:89.09,0.92771083,0.8909091,1.0,0.04,0.1287878994765274,-0.112176145792375,0.3697519447454299
chr1,206586176,206586177,.,-0.0704727678280221,-,m:53,59,m:40,47,m:89.83,m:85.11,0.89830506,0.85106385,1.0,0.0472412549585287,0.1432852714902166,-0.2399152477356005,0.5264857907160339
chr1,206586177,206586178,.,1.147640055538261,+,m:164,176,m:118,135,m:93.18,m:87.41,0.9318182,0.8740741,0.3644375874965607,0.06,0.1971722330050416,-0.0270636274093575,0.4214080934194407
chr1,206586178,206586179,.,-0.3396565113204133,-,m:75,85,m:62,70,m:88.24,m:88.57,0.88235295,0.8857143,1.0,-0.0033613445378151,-0.0104984012097606,-0.3058425799125245,0.3268393823320458
chr1,206586179,206586180,.,-0.006917266498533,+,m:175,188,m:125,138,m:93.09,m:90.58,0.93085104,0.9057971,1.0,0.02,0.0917387973946977,-0.1279654349732945,0.31144302976269
chr1,206586180,206586181,.,-0.0815403843206468,-,m:98,116,m:67,76,m:84.48,m:88.16,0.8448276,0.8815789,1.0,-0.041578947368421,-0.1071730427099391,-0.1820699954343446,0.3964160808542228
chr1,206586181,206586182,.,0.5867180413350752,+,m:182,190,m:131,142,m:95.79,m:92.25,0.95789474,0.92253524,1.0,0.0399999999999999,0.1507721204146093,-0.0666462118983293,0.3681904527275479
chr1,206586182,206586183,.,-0.3000916801760525,-,m:104,118,m:72,83,m:88.14,m:86.75,0.88135594,0.8674699,1.0,0.0125301204819276,0.0419180543739083,-0.238861881096024,0.3226979898438408
chr1,206586183,206586184,.,-0.1652660049918495,+,m:163,171,m:120,128,m:95.32,m:93.75,0.9532164,0.9375,1.0,0.01,0.0693239735472799,-0.159752582439404,0.2984005295339639
chr1,206586184,206586185,.,-0.2457122076326072,-,m:107,118,m:71,80,m:90.68,m:88.75,0.90677965,0.8875,1.0,0.0225,0.0635321801356818,-0.2203216044564402,0.3473859647278039
chr1,206586185,206586186,.,0.2639376760574237,+,m:94,101,m:85,88,m:93.07,m:96.59,0.9306931,0.96590906,1.0,-0.0359090909090908,-0.1613983417509348,-0.1244113622370477,0.4472080457389173
chr1,206586186,206586187,.,0.1715923702147961,-,m:99,106,m:56,63,m:93.40,m:88.89,0.9339623,0.8888889,1.0,0.0411111111111112,0.1598859433419885,-0.1519084029668128,0.47168028965079
chr1,206586187,206586188,.,-0.2860913189952327,+,m:51,55,m:49,52,m:92.73,m:94.23,0.92727274,0.9423077,1.0,-0.015034965034965,-0.0609935863051007,-0.3181091885740524,0.4400963611842539
chr1,206586188,206586189,.,-0.1497493215047143,-,m:73,80,m:48,51,m:91.25,m:94.12,0.9125,0.9411765,1.0,-0.0286764705882353,-0.110636731137343,-0.2405625815514364,0.4618360438261226
chr1,206586227,206586228,.,0.1289120762162383,+,m:161,191,m:122,152,m:84.29,m:80.26,0.8429319,0.80263156,1.0,0.0399999999999999,0.1056937263639583,-0.1073440760230113,0.318731528750928
chr1,206586228,206586229,.,-0.3094294704443427,-,m:108,133,m:71,89,m:81.20,m:79.78,0.8120301,0.7977528,1.0,0.012247191011236,0.0360332862131551,-0.2323798425403764,0.3044464149666867
chr1,206586286,206586287,.,-0.2506975407352456,+,m:162,189,m:131,150,m:85.71,m:87.33,0.85714287,0.87333333,1.0,-0.01,-0.0474338755268006,-0.1668904217816606,0.261758172835262
chr1,206586287,206586288,.,-0.3057896959321908,-,m:85,96,m:62,69,m:88.54,m:89.86,0.8854167,0.89855075,1.0,-0.0131340579710145,-0.0423315001981761,-0.2670040979647915,0.3516670983611437
chr1,206586303,206586304,.,-0.3135481260839583,+,m:75,156,m:61,123,m:48.08,m:49.59,0.48076922,0.49593496,1.0,-0.02,-0.0303408918237768,-0.2059980777856784,0.2666798614332322
chr1,206586304,206586305,.,3.3560828433918743,-,m:30,61,m:10,43,m:49.18,m:23.26,0.4918033,0.23255815,0.0242000638112127,0.2592451391536409,0.5479759476400285,0.1577055459830147,0.9382463492970424
chr1,206586327,206586328,.,-0.1932292001446285,+,m:118,148,m:97,126,m:79.73,m:76.98,0.7972973,0.76984125,1.0,0.03,0.0667014036666047,-0.1708771544162644,0.3042799617494738
chr1,206586328,206586329,.,0.1254397760876031,-,m:86,119,m:54,82,m:72.27,m:65.85,0.7226891,0.6585366,0.5244903436638652,0.0614634146341462,0.1389547271594979,-0.1423426694679994,0.4202521237869953
chr1,206586422,206586423,.,0.5496360099283493,+,m:127,182,m:113,148,m:69.78,m:76.35,0.6978022,0.7635135,0.5808829454940634,-0.06,-0.1483726843518376,-0.0685667529106121,0.3653121216142873
chr1,206586423,206586424,.,-0.3092233721636148,-,m:92,127,m:63,89,m:72.44,m:70.79,0.72440946,0.7078652,1.0,0.0121348314606741,0.0366975277451655,-0.2342455768156344,0.3076406323059655
chr1,206586453,206586454,.,-0.3373149822053847,+,m:45,184,m:37,155,m:24.46,m:23.87,0.24456522,0.23870967,1.0,0.0,0.0136789852198349,-0.2000055928047144,0.2273635632443842
