chrom,start,end,name,score,strand,samplea_counts,samplea_total,sampleb_counts,sampleb_total,samplea_percents,sampleb_percents,samplea_fraction_modified,sampleb_fraction_modified,map_pvalue,effect_size,cohen_h,cohen_h_low,cohen_h_high
chr1,206583090,206583091,.,1.6094379124341005,-,m:0,2,m:1,1,m:0.00,m:100.00,0.0,1.0,0.2615764979203873,-1.0,-3.141592653589793,0.7411368154121387,5.542048491767448
chr1,206583173,206583174,.,0.6268870575098333,+,m:76,99,m:68,80,m:76.77,m:85.00,0.7676768,0.85,0.3696490262508215,-0.0823232323232323,-0.2104712953516876,-0.0841824838691502,0.5051250745725255
chr1,206583174,206583175,.,0.9559662006744248,-,m:74,83,m:86,90,m:89.16,m:95.56,0.8915663,0.95555556,0.2805346012463099,-0.0639892904953146,-0.2462845169645833,-0.0519863535196049,0.5445553874487715
chr1,206583387,206583388,.,50.950941088821054,+,m:6,105,m:62,85,m:5.71,m:72.94,0.057142857,0.7294118,0.0,-0.6694117647058824,-1.5647011157124358,1.2787309157151536,1.8506713157097177
chr1,206583388,206583389,.,30.686950267263,-,m:10,52,m:65,75,m:19.23,m:86.67,0.1923077,0.8666667,2.71e-14,-0.6743589743589744,-1.48608581542965,1.13239999576358,1.8397716350957205
chr1,206583707,206583708,.,88.41913648418125,+,m:12,103,m:100,104,m:11.65,m:96.15,0.116504855,0.96153843,0.0,-0.84,-2.0501424581743963,1.7776854510138096,2.322599465334983
chr1,206583708,206583709,.,70.49912880840225,-,m:7,75,m:77,80,m:9.33,m:96.25,0.093333334,0.9625,0.0,-0.8691666666666666,-2.1308942160964364,1.8158740799126285,2.445914352280244
chr1,206583766,206583767,.,61.08647510692606,+,m:17,94,m:90,97,m:18.09,m:92.78,0.18085106,0.92783505,0.0,-0.7469839877166046,-1.7191293616135903,1.435458334800043,2.0028003884271377
chr1,206583767,206583768,.,32.59985571012683,-,m:28,80,m:73,78,m:35.00,m:93.59,0.35,0.9358974,4.2e-15,-0.5858974358974359,-1.3635469882478084,1.0516692761251598,1.675424700370457
chr1,206584104,206584105,.,12.222500214847685,+,m:85,118,m:96,100,m:72.03,m:96.00,0.720339,0.96,7.1839098521e-06,-0.24,-0.7117265490294327,0.4453258658930422,0.9781272321658232
chr1,206584105,206584106,.,3.6902901810775006,-,m:65,84,m:85,92,m:77.38,m:92.39,0.77380955,0.92391306,0.0180057946125295,-0.150103519668737,-0.4323561305727517,0.1365747251247944,0.728137536020709
chr1,206584137,206584138,.,22.12680540427948,+,m:100,134,m:109,109,m:74.63,m:100.00,0.74626863,1.0,8.8476846e-09,-0.25,-1.05579355643814,0.8029886027410924,1.3085985101351876
chr1,206584138,206584139,.,0.6726390218264839,-,m:55,67,m:50,55,m:82.09,m:90.91,0.8208955,0.90909094,0.3549907485538638,-0.0881953867028493,-0.2614102726565486,-0.0952126544104293,0.6180331997235264
chr1,206584151,206584152,.,5.0271220345248935,+,m:119,133,m:100,101,m:89.47,m:99.01,0.8947368,0.990099,0.0063801275602219,-0.0999999999999999,-0.4615080717535269,0.2028241047644184,0.7201920387426355
chr1,206584152,206584153,.,3.33730447208086,-,m:79,90,m:88,90,m:87.78,m:97.78,0.87777776,0.9777778,0.026459847023872,-0.0999999999999999,-0.4150368136452163,0.1228626334530224,0.70721099383741
chr1,206584176,206584177,.,1.9748434980132288,+,m:129,133,m:103,103,m:96.99,m:100.00,0.9699248,1.0,1.0,-0.03,-0.3486065399126881,0.0913540069153557,0.6058590729100204
