chrom,start,end,name,score,strand,samplea_counts,samplea_total,sampleb_counts,sampleb_total,samplea_percents,sampleb_percents,samplea_fraction_modified,sampleb_fraction_modified,map_pvalue,effect_size,cohen_h,cohen_h_low,cohen_h_high
chr1,206583089,206583090,.,3.1354942159291346,+,m:0,11,m:1,1,m:0.00,m:100.00,0.0,1.0,0.0436667268751039,-1.0,-3.141592653589793,1.09447703647186,5.188708270707727
chr1,206583090,206583091,.,1.7773707317759415,-,m:1,11,m:1,1,m:9.09,m:100.00,0.09090909,1.0,0.1422287959361267,-0.9090909090909092,-2.5290379058261325,0.4819222887081995,4.5761535229440655
chr1,206583173,206583174,.,-0.3440797776958675,+,m:445,506,m:103,117,m:87.94,m:88.03,0.8794466,0.8803419,1.0,0.0,-0.0027539345013734,-0.1983052538602337,0.2038131228629805
chr1,206583174,206583175,.,2.400987958342398,-,m:540,592,m:83,85,m:91.22,m:97.65,0.9121622,0.9764706,0.1364960131407307,-0.066470588235294,-0.2937866227201988,0.0664485838985605,0.5211246615418371
chr1,206583387,206583388,.,142.1803099181672,+,m:44,627,m:98,123,m:7.02,m:79.67,0.07017544,0.796748,0.0,-0.73,-1.6699780835512588,1.4766956448569537,1.863260522245564
chr1,206583388,206583389,.,68.4831780259045,-,m:56,398,m:59,70,m:14.07,m:84.29,0.14070351,0.8428571,0.0,-0.7028571428571428,-1.5573614767441508,1.303334136212798,1.8113888172755035
chr1,206583707,206583708,.,183.5827342873201,+,m:70,615,m:133,144,m:11.38,m:92.36,0.11382114,0.9236111,0.0,-0.81,-1.893279052878833,1.711831892881425,2.0747262128762416
chr1,206583708,206583709,.,113.94335359819306,-,m:44,506,m:68,74,m:8.70,m:91.89,0.08695652,0.9189189,0.0,-0.828918918918919,-1.9654387377858256,1.7215055060681486,2.2093719695035023
chr1,206583766,206583767,.,106.80546480634264,+,m:140,560,m:127,140,m:25.00,m:90.71,0.25,0.9071429,0.0,-0.66,-1.4750964346290902,1.2898972459956537,1.660295623262527
chr1,206583767,206583768,.,60.61602746481168,-,m:179,510,m:74,76,m:35.10,m:97.37,0.3509804,0.9736842,0.0,-0.6236842105263158,-1.5475510893907336,1.3065577637652168,1.7885444150162504
chr1,206584104,206584105,.,16.82535405840042,+,m:485,631,m:137,143,m:76.86,m:95.80,0.76862127,0.95804197,0.0002191627427728,-0.1899999999999999,-0.5910384576562744,0.4095136969153131,0.7725632183972356
chr1,206584105,206584106,.,15.461602320268412,-,m:413,566,m:76,78,m:72.97,m:97.44,0.72968197,0.974359,9.6613835783e-06,-0.2443589743589743,-0.7718763959292771,0.5351560930849247,1.0085966987736297
chr1,206584137,206584138,.,16.01899684198554,+,m:635,737,m:150,151,m:86.16,m:99.34,0.8616011,0.9933775,0.0008316425881882,-0.13,-0.5994309718372945,0.4243526575883017,0.7745092860862873
chr1,206584138,206584139,.,2.630576418727742,-,m:369,457,m:59,64,m:80.74,m:92.19,0.8074398,0.921875,0.1136665682650508,-0.1118749999999999,-0.3419986999831388,0.0804100686137013,0.6035873313525764
chr1,206584151,206584152,.,1.5378678429983663,+,m:655,694,m:140,143,m:94.38,m:97.90,0.943804,0.97902095,1.0,-0.04,-0.187965079488408,0.007968991603291,0.3679611673735249
chr1,206584152,206584153,.,0.4344491597942692,-,m:575,606,m:84,86,m:94.88,m:97.67,0.9488449,0.9767442,1.0,-0.0267441860465116,-0.150106149438796,-0.0757415133347332,0.3759538122123254
chr1,206584176,206584177,.,2.594935533241028,+,m:685,700,m:150,150,m:97.86,m:100.00,0.9785714,1.0,1.0,-0.02,-0.2938259363398918,0.1174810362532392,0.4701708364265444
chr1,206584177,206584178,.,0.4765897428123935,-,m:607,629,m:83,84,m:96.50,m:98.81,0.9650239,0.9880952,1.0,-0.0180952380952381,-0.1576002195860657,-0.0700813570839947,0.3852817962561262
chr1,206584178,206584179,.,0.2983808365885352,+,m:711,724,m:150,151,m:98.20,m:99.34,0.9820442,0.9933775,1.0,-0.01,-0.105869342519564,-0.0694760508883708,0.2812147359274989
chr1,206584179,206584180,.,0.0642775916571736,-,m:538,575,m:73,76,m:93.57,m:96.05,0.9356522,0.9605263,1.0,-0.0205263157894737,-0.1129206309982699,-0.1262995787408742,0.3521408407374142
chr1,206584201,206584202,.,-0.3376426555670377,+,m:544,570,m:100,105,m:95.44,m:95.24,0.95438594,0.95238096,1.0,0.0,0.0095110997023466,-0.1986348191662755,0.2176570185709688
chr1,206584202,206584203,.,0.8077415933946099,-,m:639,648,m:88,88,m:98.61,m:100.00,0.9861111,1.0,1.0,-0.01,-0.2362513625749223,0.0135831826823282,0.4589195424675163
chr1,206584227,206584228,.,3.527998696052805,+,m:595,665,m:132,137,m:89.47,m:96.35,0.8947368,0.96350366,0.1623379328514513,-0.0699999999999999,-0.2764019262101764,0.0925093618904586,0.4602944905298942
chr1,206584228,206584229,.,0.942049348455214,-,m:570,595,m:86,87,m:95.80,m:98.85,0.9579832,0.9885057,1.0,-0.0285057471264368,-0.1980509040648246,-0.0269178324310031,0.4230196405606523
chr1,206584272,206584273,.,-0.070488409265863,+,m:629,721,m:124,146,m:87.24,m:84.93,0.87239945,0.84931505,1.0,0.02,0.0667523756459065,-0.1111220781550022,0.2446268294468153
chr1,206584273,206584274,.,-0.2684965917113686,-,m:529,649,m:71,89,m:81.51,m:79.78,0.81510013,0.7977528,1.0,0.0222471910112359,0.0439162569300757,-0.1776271959781555,0.265459709838307
chr1,206584304,206584305,.,0.899002012077176,+,m:682,736,m:144,150,m:92.66,m:96.00,0.92663044,0.96,1.0,-0.0299999999999999,-0.1458736435527861,-0.0297085277203144,0.3214558148258866
chr1,206584305,206584306,.,-0.2762894936404336,-,m:530,586,m:77,84,m:90.44,m:91.67,0.9044369,0.9166667,1.0,-0.0166666666666666,-0.0428766817049264,-0.1857869207907729,0.2715402842006258
chr1,206584395,206584396,.,9.401276866084345,+,m:594,739,m:140,149,m:80.38,m:93.96,0.8037889,0.9395973,0.0107016976690174,-0.1399999999999999,-0.4211618270752573,0.2451510661358372,0.5971725880146773
chr1,206584396,206584397,.,2.416463628931752,-,m:470,598,m:73,82,m:78.60,m:89.02,0.78595316,0.8902439,0.179163262361843,-0.1002439024390243,-0.2866178010061819,0.0558128986086906,0.5174227034036732
chr1,206584407,206584408,.,4.696829671727414,+,m:623,717,m:141,148,m:86.89,m:95.27,0.8688982,0.9527027,0.1341645255397581,-0.0799999999999999,-0.3025335879648416,0.125577418263081,0.4794897576666022
chr1,206584408,206584409,.,2.978312056731568,-,m:549,633,m:83,87,m:86.73,m:95.40,0.8672986,0.954023,0.1201459962885306,-0.084022988505747,-0.313522465883576,0.0894167889956635,0.5376281427714885
chr1,206584411,206584412,.,5.304741704072853,+,m:524,600,m:144,150,m:87.33,m:96.00,0.87333333,0.96,0.066155949092492,-0.0899999999999999,-0.3250435223686936,0.1461241079969779,0.5039629367404093
chr1,206584412,206584413,.,21.657018562463463,-,m:315,528,m:75,80,m:59.66,m:93.75,0.59659094,0.9375,2.251057107e-07,-0.3375,-0.8710317388515125,0.6358855599555221,1.1061779177475028
chr1,206584946,206584947,.,5.025968320689231,+,m:468,659,m:112,133,m:71.02,m:84.21,0.71016693,0.84210527,0.0859626791631426,-0.13,-0.3197073998302824,0.1333948309080848,0.50601996875248
chr1,206584947,206584948,.,10.276513719133844,-,m:404,572,m:74,80,m:70.63,m:92.50,0.7062937,0.925,0.0007462126293123,-0.215,-0.590692661977712,0.3567395206057865,0.8246458033496374
chr1,206585234,206585235,.,4.421109700619354,+,m:430,601,m:107,127,m:71.55,m:84.25,0.7154742,0.8425197,0.1210932186522183,-0.12,-0.3091142921156584,0.1176998578287499,0.500528726402567
chr1,206585235,206585236,.,7.117018345999895,-,m:366,574,m:69,82,m:63.76,m:84.15,0.63763064,0.8414634,0.0077956319391382,-0.2014634146341463,-0.4729003030375547,0.2415142711367437,0.7042863349383657
chr1,206585379,206585380,.,4.550154705720729,+,m:522,674,m:124,140,m:77.45,m:88.57,0.7744807,0.8857143,0.074335009820601,-0.12,-0.2999620338057909,0.117922243167491,0.4820018244440907
chr1,206585380,206585381,.,3.498147250837235,-,m:429,542,m:73,80,m:79.15,m:91.25,0.7915129,0.9125,0.0670231868174696,-0.1224999999999999,-0.3477542583607929,0.1130080173717597,0.582500499349826
chr1,206585797,206585798,.,8.491537340293405,+,m:422,617,m:117,137,m:68.40,m:85.40,0.6839546,0.8540146,0.0166107023461482,-0.1699999999999999,-0.4099439396244568,0.2248335059136811,0.5950543733352325
chr1,206585798,206585799,.,-0.3383949957885761,-,m:268,431,m:39,62,m:62.18,m:62.90,0.6218097,0.62903225,1.0,-0.0090322580645161,-0.0149223232651298,-0.2512954648948877,0.2811401114251475
chr1,206585896,206585897,.,11.937215389293328,+,m:509,708,m:133,148,m:71.89,m:89.86,0.71892655,0.8986486,0.004297593816208,-0.18,-0.4695947444889348,0.2924462414264093,0.6467432475514603
chr1,206585897,206585898,.,6.722178162433977,-,m:450,615,m:76,84,m:73.17,m:90.48,0.73170733,0.9047619,0.0080916076535322,-0.1747619047619047,-0.4614958274075484,0.2335091454883962,0.6894825093267007
chr1,206586020,206586021,.,16.301051880992418,+,m:180,613,m:72,127,m:29.36,m:56.69,0.29363784,0.56692916,0.0003383117816166,-0.2799999999999999,-0.5597043110000253,0.3686169981900848,0.7507916238099657
