chrom,start,end,name,score,strand,samplea_counts,samplea_total,sampleb_counts,sampleb_total,samplea_percents,sampleb_percents,samplea_fraction_modified,sampleb_fraction_modified,map_pvalue,effect_size,cohen_h,cohen_h_low,cohen_h_high
chr1,206583089,206583090,.,-0.3341749720652434,+,m:0,11,m:0,6,m:0.00,m:0.00,0.0,0.0,1.0,0.0,0.0,-0.9947193905501014,0.9947193905501014
chr1,206583090,206583091,.,-0.1404598066070299,-,m:1,11,m:0,2,m:9.09,m:0.00,0.09090909,0.0,1.0,0.0909090909090909,0.6125547477636607,-0.8940815519122344,2.119191047439556
chr1,206583173,206583174,.,2.2676804404341624,+,m:445,506,m:69,88,m:87.94,m:78.41,0.8794466,0.78409094,0.2113925291176639,0.0959090909090909,0.2573171560178995,0.0309441077205689,0.4836902043152301
chr1,206583174,206583175,.,-0.1860448380147943,-,m:540,592,m:66,74,m:91.22,m:89.19,0.9121622,0.8918919,1.0,0.0181081081081081,0.0682723740520607,-0.1733896966079575,0.3099344447120791
chr1,206583387,206583388,.,0.1701818407618702,+,m:44,627,m:4,92,m:7.02,m:4.35,0.07017544,0.04347826,1.0,0.0265217391304347,0.1161023744361438,-0.1027165364539051,0.3349212853261928
chr1,206583388,206583389,.,-0.1999448985271783,-,m:56,398,m:8,47,m:14.07,m:17.02,0.14070351,0.17021276,1.0,-0.0302127659574467,-0.0815244552872848,-0.2207751857684166,0.3838240963429862
chr1,206583707,206583708,.,-0.2942451621019017,+,m:70,615,m:12,96,m:11.38,m:12.50,0.11382114,0.125,1.0,-0.015,-0.0344825847274746,-0.1806022137918322,0.2495673832467815
chr1,206583708,206583709,.,-0.2931338405693964,-,m:44,506,m:5,66,m:8.70,m:7.58,0.08695652,0.07575758,1.0,0.0142424242424242,0.0409874203120109,-0.2155193776034492,0.2974942182274711
chr1,206583766,206583767,.,0.7352826077542431,+,m:140,560,m:15,84,m:25.00,m:17.86,0.25,0.17857143,1.0,0.0714285714285714,0.1746236866479376,-0.0547044636550892,0.4039518369509643
chr1,206583767,206583768,.,-0.2046105891716365,-,m:179,510,m:23,72,m:35.10,m:31.94,0.3509804,0.31944445,1.0,0.0305555555555555,0.0668212853936371,-0.1799293314836105,0.3135719022708849
chr1,206584104,206584105,.,0.425785040809103,+,m:485,631,m:74,104,m:76.86,m:71.15,0.76862127,0.71153843,0.6816775401308104,0.06,0.1303259444754951,-0.0770987271784251,0.3377506161294155
chr1,206584105,206584106,.,0.2317121332429224,-,m:413,566,m:59,75,m:72.97,m:78.67,0.72968197,0.7866667,0.7515960547540742,-0.0566666666666666,-0.1332895759892052,-0.1075557699511496,0.37413492192956
chr1,206584137,206584138,.,5.083688627739718,+,m:635,737,m:86,117,m:86.16,m:73.50,0.8616011,0.73504275,0.1016629557783121,0.12,0.3190401206117776,0.1239881458630849,0.5140920953604704
chr1,206584138,206584139,.,-0.3244017077917931,-,m:369,457,m:43,54,m:80.74,m:79.63,0.8074398,0.7962963,1.0,0.0137037037037037,0.0279596425869348,-0.2540757174258483,0.309995002599718
chr1,206584151,206584152,.,0.7962534482907699,+,m:655,694,m:105,116,m:94.38,m:90.52,0.943804,0.9051724,1.0,0.0299999999999999,0.1473854325444015,-0.0492138237456795,0.3439846888344826
chr1,206584152,206584153,.,1.8421347026920785,-,m:575,606,m:68,77,m:94.88,m:88.31,0.9488449,0.8831169,0.2788320841935269,0.0668831168831168,0.2415389905963265,0.0044143049314398,0.4786636762612132
chr1,206584176,206584177,.,-0.2955353874187949,+,m:685,700,m:113,116,m:97.86,m:97.41,0.9785714,0.9741379,1.0,0.01,0.0292107449175107,-0.1672678102268255,0.2256893000618469
chr1,206584177,206584178,.,-0.2091074509399391,-,m:607,629,m:79,81,m:96.50,m:97.53,0.9650239,0.97530866,1.0,-0.0053086419753086,-0.06067608747226,-0.170695184009502,0.2920473589540221
chr1,206584178,206584179,.,1.5709905109838471,+,m:711,724,m:114,114,m:98.20,m:100.00,0.9820442,1.0,1.0,-0.02,-0.2688069288733072,0.0713154365297222,0.4662984212168922
chr1,206584179,206584180,.,0.0642775916571736,-,m:538,575,m:73,76,m:93.57,m:96.05,0.9356522,0.9605263,1.0,-0.0205263157894737,-0.1129206309982699,-0.1262995787408742,0.3521408407374142
chr1,206584201,206584202,.,0.4064477105221158,+,m:544,570,m:94,96,m:95.44,m:97.92,0.95438594,0.9791667,1.0,-0.0291666666666666,-0.1407779868711767,-0.0754501276021992,0.3570061013445527
chr1,206584202,206584203,.,0.7460543700914286,-,m:639,648,m:83,83,m:98.61,m:100.00,0.9861111,1.0,1.0,-0.01,-0.2362513625749223,0.0077545057336643,0.4647482194161803
chr1,206584227,206584228,.,2.7508456948043545,+,m:595,665,m:93,115,m:89.47,m:80.87,0.8947368,0.8086957,0.2826771568366581,0.0799999999999999,0.2445287367720183,0.0465877871160126,0.4424696864280241
chr1,206584228,206584229,.,-0.1668674676726311,-,m:570,595,m:65,69,m:95.80,m:94.20,0.9579832,0.942029,1.0,0.0179710144927536,0.0734351136168238,-0.1758228843572327,0.3226931115908804
chr1,206584272,206584273,.,2.044076305632132,+,m:629,721,m:92,116,m:87.24,m:79.31,0.87239945,0.79310346,0.3178773666697983,0.0799999999999999,0.2138644442336223,0.0177930698677448,0.4099358185994999
chr1,206584273,206584274,.,0.3901624746514471,-,m:529,649,m:72,83,m:81.51,m:86.75,0.81510013,0.8674699,1.0,-0.0474698795180723,-0.1437668069645705,-0.0847100611444838,0.372243675073625
chr1,206584304,206584305,.,0.302306289620617,+,m:682,736,m:102,114,m:92.66,m:89.47,0.92663044,0.8947368,1.0,0.04,0.1122557522993674,-0.085016599024262,0.3095281036229969
chr1,206584305,206584306,.,-0.2435374759033379,-,m:530,586,m:69,75,m:90.44,m:92.00,0.9044369,0.92,1.0,-0.02,-0.0550491103706516,-0.1853148665925958,0.295413087333899
chr1,206584395,206584396,.,0.6615919007714979,+,m:594,739,m:88,118,m:80.38,m:74.58,0.8037889,0.7457627,1.0,0.05,0.1391668936545351,-0.0551342152244865,0.3334680025335568
chr1,206584396,206584397,.,1.7346856977770244,-,m:470,598,m:53,78,m:78.60,m:67.95,0.78595316,0.67948717,0.2581795148549314,0.1105128205128205,0.241659110977336,0.0057071746810983,0.4776110472735738
chr1,206584407,206584408,.,2.808371789299656,+,m:623,717,m:90,116,m:86.89,m:77.59,0.8688982,0.7758621,0.2444086156219962,0.0899999999999999,0.2453699237568751,0.0492227660682686,0.4415170814454816
chr1,206584408,206584409,.,-0.3408504505450764,-,m:549,633,m:70,81,m:86.73,m:86.42,0.8672986,0.86419755,1.0,0.0058024691358025,0.0090961901580399,-0.2221916669905463,0.2403840473066262
chr1,206584411,206584412,.,2.638914717544367,+,m:524,600,m:76,98,m:87.33,m:77.55,0.87333333,0.7755102,0.2177722668344394,0.0944897959183673,0.2594503476074679,0.0459064627438138,0.4729942324711219
chr1,206584412,206584413,.,-0.3268496361394,-,m:315,528,m:45,74,m:59.66,m:60.81,0.59659094,0.6081081,1.0,-0.0081081081081081,-0.0235332530318042,-0.2197507289229564,0.2668172349865648
chr1,206584946,206584947,.,-0.2961793072995533,+,m:468,659,m:79,109,m:71.02,m:72.48,0.71016693,0.72477067,1.0,-0.01,-0.0324385600776842,-0.1702236361624416,0.23510075631781
chr1,206584947,206584948,.,-0.3426033493545901,-,m:404,572,m:52,74,m:70.63,m:70.27,0.7062937,0.7027027,1.0,0.0072972972972972,0.0078704092930732,-0.2342606353587254,0.2500014539448719
chr1,206585234,206585235,.,-0.2901308936523037,+,m:430,601,m:63,86,m:71.55,m:73.26,0.7154742,0.73255813,1.0,-0.0125581395348837,-0.0382224495388485,-0.1877419375354023,0.2641868366130994
chr1,206585235,206585236,.,-0.2886783234774839,-,m:366,574,m:48,73,m:63.76,m:65.75,0.63763064,0.65753424,1.0,-0.0175342465753424,-0.0416673378154686,-0.2018797018729718,0.285214377503909
chr1,206585379,206585380,.,-0.3256784637111423,+,m:522,674,m:83,106,m:77.45,m:78.30,0.7744807,0.7830189,1.0,-0.01,-0.0205704049941237,-0.1842213706048187,0.2253621805930662
chr1,206585380,206585381,.,-0.291315970192727,-,m:429,542,m:55,71,m:79.15,m:77.46,0.7915129,0.7746479,1.0,0.0153521126760564,0.0409267615185813,-0.2064446519721411,0.2882981750093037
chr1,206585797,206585798,.,-0.2638153605151956,+,m:422,617,m:63,95,m:68.40,m:66.32,0.6839546,0.6631579,1.0,0.0168421052631579,0.044356154513288,-0.1716587428918459,0.2603710519184219
chr1,206585798,206585799,.,5.791905160075316,-,m:268,431,m:21,56,m:62.18,m:37.50,0.6218097,0.375,0.0118601714830653,0.245,0.4987762474951498,0.2203693933468071,0.7771831016434925
chr1,206585896,206585897,.,9.011586792886304,+,m:509,708,m:54,107,m:71.89,m:50.47,0.71892655,0.5046729,0.0054660293108205,0.2199999999999999,0.4438633983622897,0.2405722928010324,0.647154503923547
chr1,206585897,206585898,.,8.072237414252129,-,m:450,615,m:37,75,m:73.17,m:49.33,0.73170733,0.49333334,0.0057446362415008,0.2366666666666666,0.49517846151234,0.2554583633816617,0.7348985596430183
chr1,206586020,206586021,.,2.621179747842461,+,m:180,613,m:16,91,m:29.36,m:17.58,0.29363784,0.17582418,0.0801657108796145,0.1141758241758241,0.2799743771050578,0.0597915279505314,0.5001572262595841
chr1,206586021,206586022,.,2.015935732864591,-,m:177,548,m:12,62,m:32.30,m:19.35,0.3229927,0.19354838,0.1451242030019785,0.1264516129032258,0.2978694301821497,0.0352499819521421,0.5604888784121573
chr1,206586120,206586121,.,4.80642927577702,+,m:120,658,m:7,104,m:18.24,m:6.73,0.18237083,0.067307696,0.0668019818030217,0.1099999999999999,0.3575743892932457,0.1507527575443867,0.5643960210421046
chr1,206586121,206586122,.,5.260625268738068,-,m:99,583,m:3,75,m:16.98,m:4.00,0.16981132,0.04,0.0091584615611825,0.13,0.4467593277045537,0.206325190914094,0.6871934644950133
chr1,206586163,206586164,.,40.89324487648088,+,m:327,572,m:8,90,m:57.17,m:8.89,0.57167834,0.08888889,2.1941e-12,0.481111111111111,1.1091567180086708,0.886898505821571,1.3314149301957705
chr1,206586164,206586165,.,39.31028598634976,-,m:279,513,m:1,62,m:54.39,m:1.61,0.54385966,0.016129032,1.045e-13,0.5238709677419355,1.4039404842539578,1.1404120473462536,1.667468921161662
chr1,206586168,206586169,.,22.937076565432506,+,m:187,370,m:6,67,m:50.54,m:8.96,0.5054054,0.08955224,1.74222514e-08,0.4204477611940299,0.9737884445687498,0.7135625284573295,1.23401436068017
chr1,206586169,206586170,.,9.268792113800728,-,m:66,188,m:1,34,m:35.11,m:2.94,0.35106382,0.029411765,0.0001189232115985,0.3205882352941176,0.923632080527027,0.5583686487944914,1.288895512259563
chr1,206586173,206586174,.,61.89184797771662,+,m:351,545,m:7,99,m:64.40,m:7.07,0.6440367,0.07070707,0.0,0.5692929292929293,1.3247192541751942,1.110590408277923,1.5388481000724654
chr1,206586174,206586175,.,21.84563632020678,-,m:108,198,m:2,44,m:54.55,m:4.55,0.54545456,0.045454547,2.0456102e-09,0.5045454545454546,1.232131464824296,0.9054708007342872,1.558792128914305
chr1,206586175,206586176,.,62.87652893207672,+,m:311,510,m:4,98,m:60.98,m:4.08,0.6098039,0.040816326,0.0,0.5691836734693877,1.385347319707097,1.1691741678304648,1.601520471583729
chr1,206586176,206586177,.,25.303625769296616,-,m:123,258,m:1,53,m:47.67,m:1.89,0.47674417,0.018867925,2.848318e-10,0.4611320754716981,1.2486754389687182,0.953091727676224,1.5442591502612124
chr1,206586177,206586178,.,60.76511384252973,+,m:343,557,m:6,101,m:61.58,m:5.94,0.61579895,0.05940594,0.0,0.56,1.3120893855378826,1.1001201891411656,1.5240585819345995
chr1,206586178,206586179,.,30.17387188734051,-,m:189,382,m:3,69,m:49.48,m:4.35,0.4947644,0.04347826,1.195818e-10,0.4465217391304348,1.1402134285313434,0.8838357946292675,1.3965910624334192
chr1,206586179,206586180,.,64.11817272655975,+,m:405,599,m:12,109,m:67.61,m:11.01,0.6761269,0.110091746,0.0,0.5700000000000001,1.2543508113411022,1.0502531352758175,1.4584484874063868
