,chrom,start,end,name,score,strand,samplea_counts,samplea_total,sampleb_counts,sampleb_total,samplea_percents,sampleb_percents,samplea_fraction_modified,sampleb_fraction_modified,map_pvalue,effect_size,cohen_h,cohen_h_low,cohen_h_high,map_pval_less005,map_pval_log10,cg_unit_pair,cg_unit_pair_id,efsize-score,score-efsize,score_scaled,efsize-score_scaled,start_hg38,end_hg38,start_t2tv2,end_t2tv2,score_norm
0,chr1,206583089,206583090,.,0.24821142012226,+,m:18,23,m:4,7,m:78.26,m:57.14,0.7826087,0.5714286,0.6104844517224437,0.2111801242236025,0.4573491135627849,-0.3887004005045441,1.3033986276301142,False,0.21432539244588625,CG_-1,CG_-1.+,-0.0370312958986575,0.0370312958986575,0.0006101331137403384,0.21056999110986216,207317793,207317794,206583089,206583090,0.0006101331137403384
1,chr1,206583090,206583091,.,2.099588559761907,-,m:19,19,m:7,9,m:100.00,m:77.78,1.0,0.7777778,0.197143917986863,0.2222222222222222,0.9817653247185992,0.1886633129639132,1.7748673364732854,False,0.7052166164201125,CG_-1,CG_-1.-,-1.8773663375396845,1.8773663375396845,0.002512444271895454,0.21970977795032676,207317794,207317795,206583090,206583091,0.002512444271895454
2,chr1,206583173,206583174,.,0.3356062280806782,+,m:786,876,m:358,390,m:89.73,m:91.79,0.89726025,0.9179487,1.0,-0.02,-0.0715482627269405,-0.0477627651636065,0.1908592906174877,False,-4.342945178152237e-11,CG_0,CG_0.+,-0.3556062280806782,0.3556062280806782,0.00069993227717631,-0.02069993227717631,207317877,207317878,206583173,206583174,0.00069993227717631
3,chr1,206583174,206583175,.,-0.3236328501611751,-,m:853,869,m:465,473,m:98.16,m:98.31,0.981588,0.9830867,1.0,0.0,-0.0113802792395341,-0.1006109187366274,0.1233714772156956,False,-4.342945178152237e-11,CG_0,CG_0.-,0.3236328501611751,-0.3236328501611751,2.2556594188528667e-05,-2.2556594188528667e-05,207317878,207317879,206583174,206583175,2.2556594188528667e-05
4,chr1,206583387,206583388,.,0.249057250396163,+,m:660,1004,m:315,459,m:65.74,m:68.63,0.6573705,0.6862745,1.0,-0.0299999999999999,-0.0615705128821797,-0.0488620255037819,0.1720030512681414,False,-4.342945178152237e-11,CG_1,CG_1.+,-0.2790572503961629,0.2790572503961629,0.0006110022140081877,-0.030611002214008087,207318091,207318092,206583387,206583388,0.0006110022140081877
5,chr1,206583388,206583389,.,-0.3449308152962658,-,m:590,726,m:310,382,m:81.27,m:81.15,0.8126722,0.8115183,1.0,0.0,0.0029538682705396,-0.1209309189978156,0.1268386555388949,False,-4.342945178152237e-11,CG_1,CG_1.-,0.3449308152962658,-0.3449308152962658,6.726917382869083e-07,-6.726917382869083e-07,207318092,207318093,206583388,206583389,6.726917382869083e-07
6,chr1,206583707,206583708,.,0.568673394036523,+,m:1104,1170,m:490,529,m:94.36,m:92.63,0.94358975,0.92627597,1.0,0.0099999999999998,0.0703473967717989,-0.0323416242502583,0.1730364177938561,False,-4.342945178152237e-11,CG_2,CG_2.+,-0.5586733940365232,0.5586733940365232,0.0009394114523829839,0.009060588547616816,207318411,207318412,206583707,206583708,0.0009394114523829839
7,chr1,206583708,206583709,.,0.4920141249979224,-,m:746,792,m:393,426,m:94.19,m:92.25,0.9419192,0.92253524,1.0,0.0199999999999999,0.0773080561832553,-0.0404537192898211,0.1950698316563317,False,-4.342945178152237e-11,CG_2,CG_2.-,-0.4720141249979225,0.4720141249979225,0.0008606431778127744,0.019139356822187127,207318412,207318413,206583708,206583709,0.0008606431778127744
8,chr1,206583766,206583767,.,1.8433183100373756,+,m:857,966,m:406,440,m:88.72,m:92.27,0.8871636,0.9227273,1.0,-0.03,-0.121764678765122,0.0090382236860084,0.2344911338442357,False,-4.342945178152237e-11,CG_3,CG_3.+,-1.8733183100373756,1.8733183100373756,0.0022491236630814864,-0.03224912366308148,207318470,207318471,206583766,206583767,0.0022491236630814864
9,chr1,206583767,206583768,.,2.071303517398519,-,m:763,812,m:416,430,m:93.97,m:96.74,0.9396552,0.96744186,1.0,-0.03,-0.1335191002834994,0.0166239088467969,0.2504142917202019,False,-4.342945178152237e-11,CG_3,CG_3.-,-2.101303517398519,2.101303517398519,0.0024833810677839267,-0.03248338106778392,207318471,207318472,206583767,206583768,0.0024833810677839267
