chrom,start,end,name,score,strand,samplea_counts,samplea_total,sampleb_counts,sampleb_total,samplea_percents,sampleb_percents,samplea_fraction_modified,sampleb_fraction_modified,map_pvalue,effect_size,cohen_h,cohen_h_low,cohen_h_high
chr1,206583089,206583090,.,-0.0312525435041024,+,m:3,4,m:1,1,m:75.00,m:100.00,0.75,1.0,1.0,-0.25,-1.047197551196598,-1.1441088002448558,3.2385039026380515
chr1,206583090,206583091,.,-0.2776317365982791,-,m:2,2,m:1,1,m:100.00,m:100.00,1.0,1.0,1.0,0.0,0.0,-2.4004558381776544,2.4004558381776544
chr1,206583173,206583174,.,-0.0592507088570641,+,m:130,143,m:103,117,m:90.91,m:88.03,0.90909094,0.8803419,1.0,0.03,0.0938758335394016,-0.1504524901766924,0.3382041572554957
chr1,206583174,206583175,.,0.1821478906526294,-,m:112,118,m:83,85,m:94.92,m:97.65,0.9491525,0.9764706,1.0,-0.0264705882352941,-0.1468978099793187,-0.1319361351443534,0.425731755102991
chr1,206583387,206583388,.,-0.1482863620637431,+,m:131,171,m:98,123,m:76.61,m:79.67,0.76608187,0.796748,1.0,-0.03,-0.0742414210205635,-0.1574826476300969,0.3059654896712239
chr1,206583388,206583389,.,-0.3372356044685318,-,m:82,98,m:59,70,m:83.67,m:84.29,0.8367347,0.8428571,1.0,-0.0061224489795917,-0.0166923232285589,-0.2900266728372394,0.3234113192943573
chr1,206583707,206583708,.,-0.2498947247846672,+,m:175,187,m:133,144,m:93.58,m:92.36,0.93582886,0.9236111,1.0,0.0199999999999999,0.0478401517500812,-0.1694600044956119,0.2651403079957745
chr1,206583708,206583709,.,0.4258684080891441,-,m:102,106,m:68,74,m:96.23,m:91.89,0.9622642,0.9189189,1.0,0.0410810810810809,0.1864857294779662,-0.1104179303828948,0.4833893893388273
chr1,206583766,206583767,.,0.0458577372687045,+,m:148,169,m:127,140,m:87.57,m:90.71,0.87573963,0.9071429,1.0,-0.03,-0.101196292163495,-0.1227892367052781,0.3251818210322682
chr1,206583767,206583768,.,0.1914929470866582,-,m:99,105,m:74,76,m:94.29,m:97.37,0.94285715,0.9736842,1.0,-0.0336842105263158,-0.1568828338437478,-0.1382964894505095,0.4520621571380051
chr1,206584104,206584105,.,-0.1492925494450219,+,m:165,175,m:137,143,m:94.29,m:95.80,0.94285715,0.95804197,1.0,-0.02,-0.0701723728059855,-0.1507677585816184,0.2911125041935894
chr1,206584105,206584106,.,-0.0819591477144285,-,m:106,111,m:76,78,m:95.50,m:97.44,0.954955,0.974359,1.0,-0.0243589743589743,-0.1060884216951825,-0.1834926708912492,0.3956695142816143
chr1,206584137,206584138,.,0.6910041376622758,+,m:189,194,m:150,151,m:97.42,m:99.34,0.97422683,0.9933775,1.0,-0.02,-0.1595383430157118,-0.0531620537108757,0.3722387397422994
chr1,206584138,206584139,.,0.4676888584540961,-,m:71,83,m:59,64,m:85.54,m:92.19,0.85542166,0.921875,0.4340162192523541,-0.066453313253012,-0.2135355014038409,-0.112509634225033,0.5395806370327149
chr1,206584151,206584152,.,-0.2851816516342751,+,m:182,185,m:140,143,m:98.38,m:97.90,0.9837838,0.97902095,1.0,0.0,0.0353262240769343,-0.1829121563021472,0.2535646044560159
chr1,206584152,206584153,.,-0.3232399249690161,-,m:111,114,m:84,86,m:97.37,m:97.67,0.9736842,0.9767442,1.0,-0.0067441860465116,-0.0196911556570662,-0.2602465749565399,0.2996288862706724
chr1,206584176,206584177,.,2.65355424112704,+,m:180,185,m:150,150,m:97.30,m:100.00,0.972973,1.0,1.0,-0.03,-0.3302972554881651,0.1149501687994512,0.5456443421768791
chr1,206584177,206584178,.,0.1849990870647957,-,m:117,121,m:83,84,m:96.69,m:98.81,0.96694213,0.9880952,1.0,-0.0180952380952381,-0.1470170412655806,-0.131333899431171,0.4253679819623324
chr1,206584178,206584179,.,0.3482492388916398,+,m:184,188,m:150,151,m:97.87,m:99.34,0.9787234,0.9933775,1.0,-0.01,-0.1298369146583029,-0.0843438880290417,0.3440177173456475
chr1,206584179,206584180,.,-0.3261466065063132,-,m:109,114,m:73,76,m:95.61,m:96.05,0.95614034,0.9605263,1.0,-0.0005263157894737,-0.0219561999734865,-0.2682894166991484,0.3122018166461215
chr1,206584201,206584202,.,-0.2930847508072247,+,m:151,160,m:100,105,m:94.38,m:95.24,0.94375,0.95238096,1.0,-0.01,-0.0389290399333308,-0.2072303387853909,0.2850884186520526
chr1,206584202,206584203,.,0.7137417055108131,-,m:125,127,m:88,88,m:98.43,m:100.00,0.984252,1.0,1.0,-0.02,-0.2516457205063931,-0.0202010164499504,0.5234924574627366
chr1,206584227,206584228,.,-0.3204531328649409,+,m:164,171,m:132,137,m:95.91,m:96.35,0.9590643,0.96350366,1.0,0.0,-0.0230209229593216,-0.20171117726798,0.2477530231866233
chr1,206584228,206584229,.,-0.0669293229044001,-,m:117,120,m:86,87,m:97.50,m:98.85,0.975,0.9885057,1.0,-0.0085057471264368,-0.1027246149597385,-0.17325881919448,0.378708049113957
chr1,206584272,206584273,.,-0.3283027557721425,+,m:161,188,m:124,146,m:85.64,m:84.93,0.85638297,0.84931505,1.0,0.01,0.0199527391291787,-0.1962523796469803,0.2361578579053377
chr1,206584273,206584274,.,0.4797240842291899,-,m:108,125,m:71,89,m:86.40,m:79.78,0.864,0.7977528,0.5410328444464906,0.0622471910112359,0.1775053694720085,-0.0943293766974933,0.4493401156415105
chr1,206584304,206584305,.,-0.1660136223736117,+,m:176,186,m:144,150,m:94.62,m:96.00,0.94623655,0.96,1.0,-0.01,-0.0652822209713037,-0.1498055050467751,0.2803699469893826
chr1,206584305,206584306,.,1.3452002042686215,-,m:113,116,m:77,84,m:97.41,m:91.67,0.9741379,0.9166667,1.0,0.0533333333333333,0.2626487903138383,-0.0181494948369788,0.5434470754646556
chr1,206584395,206584396,.,0.2012902613319056,+,m:186,193,m:140,149,m:96.37,m:93.96,0.9637306,0.9395973,1.0,0.02,0.1133955763686609,-0.1003461709267412,0.3271373236640631
chr1,206584396,206584397,.,0.8965817573979962,-,m:114,120,m:73,82,m:95.00,m:89.02,0.95,0.8902439,0.3345769511874296,0.0597560975609755,0.2243237948542833,-0.0564950357608847,0.5051426254694513
chr1,206584407,206584408,.,-0.1343698969892557,+,m:174,180,m:141,148,m:96.67,m:95.27,0.96666664,0.9527027,1.0,0.02,0.0712544972157829,-0.1462247908446505,0.2887337852762164
chr1,206584408,206584409,.,-0.3162437297560245,-,m:120,125,m:83,87,m:96.00,m:95.40,0.96,0.954023,1.0,0.0059770114942528,0.0294850702301756,-0.244168670204687,0.3031388106650384
chr1,206584411,206584412,.,-0.2512293727771748,+,m:172,181,m:144,150,m:95.03,m:96.00,0.95027626,0.96,1.0,-0.01,-0.0470416496725731,-0.169368273545828,0.2634515728909744
chr1,206584412,206584413,.,0.1980507832568605,-,m:96,99,m:75,80,m:96.97,m:93.75,0.969697,0.9375,1.0,0.0321969696969697,0.1554225875402126,-0.1392311916806252,0.4500763667610505
chr1,206584946,206584947,.,-0.3014059263155104,+,m:151,182,m:112,133,m:82.97,m:84.21,0.8296703,0.84210527,1.0,-0.01,-0.0335792271328037,-0.1900053555758344,0.2571638098414418
chr1,206584947,206584948,.,0.1318246246638352,-,m:98,111,m:74,80,m:88.29,m:92.50,0.8828829,0.925,1.0,-0.045,-0.143754114416621,-0.1436932240334802,0.4312014528667222
chr1,206585234,206585235,.,0.0475835850198791,+,m:138,157,m:107,127,m:87.90,m:84.25,0.8789809,0.8425197,1.0,0.04,0.1055249169624708,-0.1283887376779319,0.3394385716028735
chr1,206585235,206585236,.,-0.3321060652404242,-,m:90,108,m:69,82,m:83.33,m:84.15,0.8333333,0.8414634,1.0,-0.0114634146341463,-0.0220341739521141,-0.2650479082883628,0.3091162561925911
chr1,206585379,206585380,.,-0.203080574924229,+,m:155,179,m:124,140,m:86.59,m:88.57,0.8659218,0.8857143,1.0,-0.02,-0.0600598546486375,-0.161072810010266,0.281192519307541
chr1,206585380,206585381,.,-0.3318762503807875,-,m:101,110,m:73,80,m:91.82,m:91.25,0.91818184,0.9125,1.0,0.0075,0.020413460839137,-0.2675806157910563,0.3084075374693305
chr1,206585797,206585798,.,-0.1187962535719293,+,m:147,167,m:117,137,m:88.02,m:85.40,0.88023955,0.8540146,1.0,0.03,0.0773471423551552,-0.1485789359001727,0.3032732206104833
chr1,206585798,206585799,.,6.540444255865765,-,m:72,81,m:39,62,m:88.89,m:62.90,0.8888889,0.62903225,0.0010489328419064,0.2598566308243727,0.6301042133418764,0.2993710417723532,0.9608373849113996
chr1,206585896,206585897,.,0.2691076718223257,+,m:158,184,m:133,148,m:85.87,m:89.86,0.8586956,0.8986486,1.0,-0.04,-0.1227535791545193,-0.0936564400988803,0.339163598407919
chr1,206585897,206585898,.,-0.3135797057266245,-,m:107,117,m:76,84,m:91.45,m:90.48,0.9145299,0.9047619,1.0,0.0052380952380952,0.0340836284245225,-0.2462102066856437,0.3143774635346887
chr1,206586020,206586021,.,1.6374568796838955,+,m:109,160,m:72,127,m:68.12,m:56.69,0.68125,0.56692916,0.3858190364586695,0.1100000000000001,0.2366875699030688,0.0037566254605188,0.4696185143456188
chr1,206586021,206586022,.,0.4790396430339285,-,m:73,105,m:49,81,m:69.52,m:60.49,0.6952381,0.60493827,0.5321515447984223,0.0950617283950616,0.1897001461824494,-0.1001459157905959,0.4795462081554948
chr1,206586120,206586121,.,0.721548856221716,+,m:52,173,m:52,137,m:30.06,m:37.96,0.30057803,0.37956205,0.5215327719369061,-0.08,-0.1669876099359921,-0.0571659304955508,0.3911411503675351
chr1,206586121,206586122,.,-0.3188329922704156,-,m:30,108,m:24,82,m:27.78,m:29.27,0.2777778,0.29268292,1.0,-0.0126829268292682,-0.0330132142151822,-0.2540688680252947,0.3200952964556591
chr1,206586163,206586164,.,1.121659461480874,+,m:128,153,m:88,117,m:83.66,m:75.21,0.8366013,0.75213677,0.2794736355097054,0.0899999999999999,0.2099908540725015,-0.0307175906587104,0.4506992988037135
chr1,206586164,206586165,.,0.8691129640261579,-,m:95,107,m:57,71,m:88.79,m:80.28,0.88785046,0.8028169,0.2984593480089449,0.0871830985915492,0.2372627969417688,-0.062748099723912,0.5372736936074498
chr1,206586168,206586169,.,1.196024277785142,+,m:64,82,m:50,56,m:78.05,m:89.29,0.7804878,0.89285713,0.2047244874734747,-0.1123693379790941,-0.3082861836410879,-0.0314851184577197,0.6480574857398956
chr1,206586169,206586170,.,-0.1786378972566993,-,m:15,18,m:17,19,m:83.33,m:89.47,0.8333333,0.8947368,0.8719178592081034,-0.0614035087719297,-0.1802233769464178,-0.4644443065323484,0.8248910604251842
chr1,206586173,206586174,.,0.2318001867733414,+,m:142,153,m:106,119,m:92.81,m:89.08,0.9281046,0.8907563,1.0,0.04,0.1308001505519387,-0.1087593212957001,0.3703596223995776
chr1,206586174,206586175,.,0.0026165816777421,-,m:33,40,m:20,27,m:82.50,m:74.07,0.825,0.7407407,0.7269006229506279,0.0842592592592592,0.2052402231053367,-0.2829326183511028,0.6934130645617762
chr1,206586175,206586176,.,0.0123823588156142,+,m:147,159,m:93,104,m:92.45,m:89.42,0.9245283,0.8942308,1.0,0.03,0.1058932093059743,-0.1412853140618159,0.3530717326737645
chr1,206586176,206586177,.,-0.1333812065627029,-,m:49,55,m:39,46,m:89.09,m:84.78,0.8909091,0.84782606,1.0,0.0430830039525691,0.1282492414686582,-0.2633560192132151,0.5198545021505316
chr1,206586177,206586178,.,0.5870830651214192,+,m:153,165,m:110,125,m:92.73,m:88.00,0.92727274,0.88,1.0,0.05,0.1613619706146587,-0.0710455145828288,0.3937694558121463
chr1,206586178,206586179,.,-0.3323075081808042,-,m:70,79,m:58,66,m:88.61,m:87.88,0.886076,0.8787879,1.0,0.0072880705792097,0.0226296260741731,-0.3042189360262484,0.3494781881745947
chr1,206586179,206586180,.,-0.1545704737218898,+,m:164,177,m:117,129,m:92.66,m:90.70,0.92655367,0.90697676,1.0,0.02,0.0709868457262721,-0.1559094030904047,0.2978830945429489
chr1,206586180,206586181,.,-0.203432437839524,-,m:90,106,m:64,73,m:84.91,m:87.67,0.8490566,0.8767123,1.0,-0.0267123287671232,-0.0804961047762264,-0.2176027062325907,0.3785949157850437
chr1,206586181,206586182,.,0.5743540954044306,+,m:169,177,m:122,133,m:95.48,m:91.73,0.9548023,0.91729325,1.0,0.0299999999999999,0.1549495260854234,-0.0699644712709843,0.3798635234418313
chr1,206586182,206586183,.,-0.3247966711221863,-,m:94,108,m:68,79,m:87.04,m:86.08,0.8703704,0.8607595,1.0,0.0092405063291138,0.0281787326022917,-0.2619852282474661,0.3183426934520496
chr1,206586183,206586184,.,-0.1720146809537368,+,m:154,162,m:114,122,m:95.06,m:93.44,0.9506173,0.93442625,1.0,0.0199999999999999,0.0697305501435461,-0.1652164144090004,0.3046775146960926
chr1,206586184,206586185,.,-0.2213815860264958,-,m:96,106,m:68,77,m:90.57,m:88.31,0.9056604,0.8831169,1.0,0.0268831168831169,0.0734486051409111,-0.2200292528776255,0.3669264631594477
chr1,206586185,206586186,.,0.208407003627201,+,m:88,95,m:77,80,m:92.63,m:96.25,0.9263158,0.9625,1.0,-0.0361842105263158,-0.1600343065240252,-0.137378947883982,0.4574475609320326
chr1,206586186,206586187,.,0.0745721997973873,-,m:87,94,m:52,59,m:92.55,m:88.14,0.9255319,0.88135594,1.0,0.0441759826902271,0.1505121372658613,-0.1750274989323476,0.4760517734640702
chr1,206586187,206586188,.,-0.2655312647726191,+,m:46,49,m:43,45,m:93.88,m:95.56,0.93877554,0.95555556,1.0,-0.0167800453514739,-0.0752412498001504,-0.3294350039640858,0.4799175035643867
chr1,206586188,206586189,.,-0.2083294007720013,-,m:61,67,m:44,47,m:91.04,m:93.62,0.9104478,0.9361702,1.0,-0.0257224515719276,-0.0969917987808393,-0.2759269224933334,0.469910520055012
chr1,206586227,206586228,.,-0.0622220460165863,+,m:152,182,m:114,142,m:83.52,m:80.28,0.83516484,0.8028169,1.0,0.0399999999999999,0.0840908034849947,-0.1353617961886412,0.3035434031586307
chr1,206586228,206586229,.,-0.3040486909123387,-,m:96,119,m:68,86,m:80.67,m:79.07,0.8067227,0.7906977,1.0,0.0193023255813954,0.0399732808268966,-0.2374240738513329,0.3173706355051263
chr1,206586286,206586287,.,-0.256007925336803,+,m:156,182,m:124,142,m:85.71,m:87.32,0.85714287,0.87323946,1.0,-0.01,-0.0471516666304063,-0.1723009330432295,0.2666042663040423
chr1,206586287,206586288,.,-0.2658994196273454,-,m:76,87,m:59,66,m:87.36,m:89.39,0.87356323,0.8939394,1.0,-0.0203761755485892,-0.0636285044678257,-0.2563068337086669,0.3835638426443185
chr1,206586303,206586304,.,-0.2364443790944506,+,m:71,148,m:58,114,m:47.97,m:50.88,0.47972974,0.50877196,1.0,-0.03,-0.0580964415755353,-0.1861428059699791,0.3023356891210499
chr1,206586304,206586305,.,2.8436480734569045,-,m:28,58,m:10,42,m:48.28,m:23.81,0.4827586,0.23809524,0.0413135378496394,0.2446633825944171,0.5168273529952028,0.1197186098438093,0.913936096146596
chr1,206586327,206586328,.,-0.2468284056159859,+,m:110,139,m:93,121,m:79.14,m:76.86,0.79136693,0.76859504,1.0,0.02,0.0549865912685492,-0.1887017095440636,0.298674892081162
chr1,206586328,206586329,.,0.4973900576058838,-,m:81,111,m:50,78,m:72.97,m:64.10,0.7297297,0.64102566,0.5290955727849702,0.0889743589743589,0.191454908309677,-0.0981261842767547,0.4810360008961088
chr1,206586422,206586423,.,0.3124669482601803,+,m:122,174,m:107,141,m:70.11,m:75.89,0.7011494,0.75886524,0.5808829454940634,-0.06,-0.130169657947945,-0.0919153220562601,0.3522546379521502
chr1,206586423,206586424,.,-0.3023756956025067,-,m:82,115,m:59,85,m:71.30,m:69.41,0.71304345,0.69411767,1.0,0.0158823529411764,0.0414470182662776,-0.2389056577148927,0.3217996942474479
chr1,206586453,206586454,.,-0.3430209165647966,+,m:44,175,m:36,145,m:25.14,m:24.83,0.25142857,0.24827586,1.0,0.0,0.0072823469155085,-0.2128176592502619,0.227382353081279
