chrom,start,end,name,score,strand,samplea_counts,samplea_total,sampleb_counts,sampleb_total,samplea_percents,sampleb_percents,samplea_fraction_modified,sampleb_fraction_modified,map_pvalue,effect_size,cohen_h,cohen_h_low,cohen_h_high
chr1,206583090,206583091,.,-0.2776317365982791,-,m:1,1,m:2,2,m:100.00,m:100.00,1.0,1.0,1.0,0.0,0.0,-2.4004558381776544,2.4004558381776544
chr1,206583173,206583174,.,0.6183668998696135,+,m:66,78,m:130,143,m:84.62,m:90.91,0.84615386,0.90909094,0.4389541553101402,-0.0638461538461538,-0.1935594794206054,-0.0823260411429853,0.4694449999841963
chr1,206583174,206583175,.,-0.202477169860856,-,m:81,84,m:112,118,m:96.43,m:94.92,0.96428573,0.9491525,1.0,0.0142857142857143,0.0746486835125059,-0.2051483650707578,0.3544457320957697
chr1,206583387,206583388,.,0.0172186952747495,+,m:58,81,m:131,171,m:71.60,m:76.61,0.7160494,0.76608187,1.0,-0.0539506172839506,-0.1143354914066092,-0.1500318458449527,0.3787028286581713
chr1,206583388,206583389,.,-0.2627156076562187,-,m:61,71,m:82,98,m:85.92,m:83.67,0.85915494,0.8367347,1.0,0.0224202356999136,0.0624777599548038,-0.2429786415289943,0.367934161438602
chr1,206583707,206583708,.,0.0238349842929324,+,m:95,99,m:175,187,m:95.96,m:93.58,0.959596,0.93582886,1.0,0.0195959595959596,0.1074491433485969,-0.1361595077476171,0.351057794444811
chr1,206583708,206583709,.,-0.3355168990300399,-,m:74,77,m:102,106,m:96.10,m:96.23,0.96103895,0.9622642,1.0,0.001038961038961,-0.0063804237194631,-0.2870974342990735,0.2998582817379998
chr1,206583766,206583767,.,0.981031776659222,+,m:89,95,m:148,169,m:93.68,m:87.57,0.9368421,0.87573963,0.3833147885141881,0.0568421052631579,0.2124231184965044,-0.0389072103639873,0.4637534473569961
chr1,206583767,206583768,.,-0.3054123757304978,-,m:70,75,m:99,105,m:93.33,m:94.29,0.93333334,0.94285715,1.0,-0.0066666666666665,-0.0395488972239523,-0.2567698045895463,0.335867599037451
chr1,206584104,206584105,.,-0.1729593285665487,+,m:93,97,m:165,175,m:95.88,m:94.29,0.9587629,0.94285715,1.0,0.0187628865979382,0.073782994477384,-0.17431751240579,0.321883501360558
chr1,206584105,206584106,.,-0.0903746057666694,-,m:82,88,m:106,111,m:93.18,m:95.50,0.9318182,0.954955,1.0,-0.0181818181818181,-0.1006278694178086,-0.1791232311477153,0.3803789699833326
chr1,206584137,206584138,.,1.823128972685879,+,m:104,104,m:189,194,m:100.00,m:97.42,1.0,0.97422683,1.0,0.03,0.322475929369455,0.0842776124727457,0.5606742462661642
chr1,206584138,206584139,.,0.3990955895476986,-,m:48,52,m:71,83,m:92.31,m:85.54,0.9230769,0.85542166,0.4539941188915791,0.0676552363299352,0.2180300462256714,-0.1286064268757272,0.5646665193270701
chr1,206584151,206584152,.,-0.2452005887879522,+,m:95,96,m:182,185,m:98.96,m:98.38,0.9895833,0.9837838,1.0,0.0095833333333333,0.0508988512758881,-0.19563682225417,0.2974345248059463
chr1,206584152,206584153,.,-0.3264957752198256,-,m:82,84,m:111,114,m:97.62,m:97.37,0.97619045,0.9736842,1.0,0.0061904761904761,0.0160382488931314,-0.2657926575496898,0.2978691553359527
chr1,206584176,206584177,.,1.8033909011037963,+,m:98,98,m:180,185,m:100.00,m:97.30,1.0,0.972973,1.0,0.03,0.3302972554881651,0.0854234070092793,0.5751711039670508
chr1,206584177,206584178,.,0.2232139274573228,-,m:86,87,m:117,121,m:98.85,m:96.69,0.9885057,0.96694213,1.0,0.0185057471264368,0.1508347087970643,-0.1246689983429555,0.4263384159370841
chr1,206584178,206584179,.,1.4444941700173786,+,m:105,105,m:184,188,m:100.00,m:97.87,1.0,0.9787234,1.0,0.02,0.2927745010120461,0.0539887943600657,0.5315602076640266
chr1,206584179,206584180,.,-0.3369510045541801,-,m:66,69,m:109,114,m:95.65,m:95.61,0.95652175,0.95614034,1.0,-0.0034782608695651,0.0018663912540279,-0.2970823057510185,0.3008150882590745
chr1,206584201,206584202,.,-0.2661417271380344,+,m:67,72,m:151,160,m:93.06,m:94.38,0.9305556,0.94375,1.0,-0.0094444444444443,-0.0544401633048114,-0.2237013696621316,0.3325816962717546
chr1,206584202,206584203,.,0.6949758564744002,-,m:86,86,m:125,127,m:100.00,m:98.43,1.0,0.984252,1.0,0.02,0.2516457205063931,-0.0220618480253972,0.5253532890381836
chr1,206584227,206584228,.,-0.3394609870305203,+,m:93,97,m:164,171,m:95.88,m:95.91,0.9587629,0.9590643,1.0,-0.0012371134020617,-0.0015185704920295,-0.2476146061838722,0.2506517471679313
chr1,206584228,206584229,.,-0.058965211462862,-,m:87,88,m:117,120,m:98.86,m:97.50,0.9886364,0.975,1.0,0.0086363636363636,0.1039537943279835,-0.1711191014348834,0.3790266900908506
chr1,206584272,206584273,.,0.1482519487362879,+,m:95,106,m:161,188,m:89.62,m:85.64,0.8962264,0.85638297,1.0,0.04,0.1213862175139097,-0.1166756844216057,0.3594481194494252
chr1,206584273,206584274,.,2.207404036711182,-,m:83,87,m:108,125,m:95.40,m:86.40,0.954023,0.864,0.0793899550011838,0.094022988505747,0.3231950763463076,0.0495413359114448,0.5968488167811703
chr1,206584304,206584305,.,0.7460207036911015,+,m:100,102,m:176,186,m:98.04,m:94.62,0.98039216,0.94623655,1.0,0.03,0.1870187769750049,-0.0544648982486658,0.4285024521986756
chr1,206584305,206584306,.,-0.1977371599241451,-,m:73,76,m:113,116,m:96.05,m:97.41,0.9605263,0.9741379,1.0,-0.0094736842105263,-0.0769849373346014,-0.2122581008096822,0.3662279754788851
