chrom,start,end,name,score,strand,samplea_counts,samplea_total,sampleb_counts,sampleb_total,samplea_percents,sampleb_percents,samplea_fraction_modified,sampleb_fraction_modified,map_pvalue,effect_size,cohen_h,cohen_h_low,cohen_h_high
chr1,206583089,206583090,.,-0.2987929630528434,+,m:18,23,m:3,4,m:78.26,m:75.00,0.7826087,0.75,1.0,0.0326086956521739,0.0770979584889883,-0.9846857548440816,1.1388816718220582
chr1,206583090,206583091,.,-0.3155398383005303,-,m:19,19,m:2,2,m:100.00,m:100.00,1.0,1.0,1.0,0.0,0.0,-1.4570214320803554,1.4570214320803554
chr1,206583173,206583174,.,-0.123389540524613,+,m:786,876,m:139,152,m:89.73,m:91.45,0.89726025,0.9144737,1.0,-0.01,-0.0590056652272701,-0.1132092654946801,0.2312205959492204
chr1,206583174,206583175,.,1.380317970733017,-,m:853,869,m:120,126,m:98.16,m:95.24,0.981588,0.95238096,1.0,0.03,0.1677545798420272,-0.0190831021714168,0.3545922618554713
chr1,206583387,206583388,.,3.5073123239534425,+,m:660,1004,m:134,176,m:65.74,m:76.14,0.6573705,0.7613636,0.2714972095220374,-0.0999999999999999,-0.2298631559334201,0.0696987879360271,0.3900275239308131
chr1,206583388,206583389,.,0.1216286288885157,-,m:590,726,m:91,107,m:81.27,m:85.05,0.8126722,0.85046726,1.0,-0.0399999999999999,-0.101134149702768,-0.1018258214708482,0.3040941208763843
chr1,206583707,206583708,.,-0.0325491078693858,+,m:1104,1170,m:183,197,m:94.36,m:92.89,0.94358975,0.92893404,1.0,0.0099999999999998,0.0600897459387637,-0.0908509348114432,0.2110304266889706
chr1,206583708,206583709,.,0.2900559801967688,-,m:746,792,m:113,117,m:94.19,m:96.58,0.9419192,0.96581197,1.0,-0.03,-0.1148509559231407,-0.079270934051328,0.3089728458976095
chr1,206583766,206583767,.,-0.3203949440212454,+,m:857,966,m:156,177,m:88.72,m:88.14,0.8871636,0.88135594,1.0,0.01,0.0181551237666779,-0.1420941277913745,0.1784043753247303
chr1,206583767,206583768,.,-0.2556352754583599,-,m:763,812,m:112,118,m:93.97,m:94.92,0.9396552,0.9491525,1.0,-0.01,-0.0414843149030557,-0.1516104711094429,0.2345791009155543
chr1,206584104,206584105,.,-0.3423321977861633,+,m:995,1051,m:174,184,m:94.67,m:94.57,0.94671744,0.9456522,1.0,0.0,0.0047208258936204,-0.1519078585794426,0.1613495103666835
chr1,206584105,206584106,.,-0.3208665832649444,-,m:798,835,m:119,124,m:95.57,m:95.97,0.9556886,0.9596774,1.0,0.0,-0.0198194478960189,-0.1688073161232003,0.2084462119152382
chr1,206584137,206584138,.,-0.3412596912320396,+,m:1223,1253,m:200,205,m:97.61,m:97.56,0.97605747,0.9756098,1.0,0.0,0.0029153372498469,-0.1447485805847451,0.150579255084439
chr1,206584138,206584139,.,-0.1174227710871491,-,m:591,667,m:81,94,m:88.61,m:86.17,0.88605696,0.86170214,1.0,0.0282978723404255,0.0734405492093284,-0.1424897445792608,0.2893708429979176
chr1,206584151,206584152,.,0.3357158382992793,+,m:1134,1168,m:191,194,m:97.09,m:98.45,0.9708904,0.9845361,1.0,-0.01,-0.0935550118464778,-0.0583997654739023,0.245509789166858
chr1,206584152,206584153,.,-0.2714931267765337,-,m:874,908,m:125,129,m:96.26,m:96.90,0.96255505,0.96899223,1.0,-0.01,-0.0354444877813882,-0.1489719758779193,0.2198609514406957
chr1,206584176,206584177,.,-0.3210981091341409,+,m:1148,1175,m:192,197,m:97.70,m:97.46,0.9770213,0.97461927,1.0,0.01,0.0156421225244525,-0.1352522697633338,0.1665365148122389
chr1,206584177,206584178,.,-0.0648841063915028,-,m:849,895,m:130,135,m:94.86,m:96.30,0.94860333,0.962963,1.0,-0.01,-0.0700768779945333,-0.1108855028590912,0.2510392588481579
chr1,206584178,206584179,.,-0.3376272009609238,+,m:1219,1245,m:196,200,m:97.91,m:98.00,0.97911644,0.98,1.0,0.0,-0.0062444780891066,-0.1430632685163445,0.1555522246945578
chr1,206584179,206584180,.,4.339570909077963,-,m:707,815,m:122,128,m:86.75,m:95.31,0.8674847,0.953125,0.1341645255397581,-0.0799999999999999,-0.3087057774020145,0.1223597459378792,0.4950518088661498
chr1,206584201,206584202,.,-0.0753626626008099,+,m:812,871,m:161,170,m:93.23,m:94.71,0.93226177,0.9470588,1.0,-0.0199999999999999,-0.0622553433663277,-0.1020833832787319,0.2265940700113875
chr1,206584202,206584203,.,-0.2742345040367127,-,m:928,945,m:141,143,m:98.20,m:98.60,0.9820106,0.986014,1.0,-0.01,-0.031980364499093,-0.1438843112762221,0.2078450402744081
chr1,206584227,206584228,.,-0.223184156430193,+,m:1074,1126,m:176,183,m:95.38,m:96.17,0.9538188,0.96174866,1.0,-0.01,-0.0394783705650332,-0.1167367880683692,0.1956935291984356
chr1,206584228,206584229,.,-0.2782746196242556,-,m:877,893,m:131,134,m:98.21,m:97.76,0.98208284,0.97761196,1.0,0.0,0.0318647783542798,-0.1497098584741875,0.2134394151827472
chr1,206584272,206584273,.,4.651146225015964,+,m:1128,1222,m:170,200,m:92.31,m:85.00,0.9230769,0.85,0.295856410788353,0.07,0.2333289776143359,0.0838268792128054,0.3828310760158664
chr1,206584273,206584274,.,-0.3446679837470014,-,m:825,945,m:123,141,m:87.30,m:87.23,0.8730159,0.87234044,1.0,0.0,0.0020263222679242,-0.1749183713183583,0.1789710158542067
chr1,206584304,206584305,.,1.4502596047763063,+,m:1208,1243,m:186,197,m:97.18,m:94.42,0.9718423,0.9441624,1.0,0.03,0.1399114965197765,-0.0103890845746357,0.2902120776141888
chr1,206584305,206584306,.,0.9312843302674878,-,m:823,869,m:126,129,m:94.71,m:97.67,0.9470656,0.9767442,1.0,-0.03,-0.1581171449886742,-0.026813386698135,0.3430476766754835
chr1,206584395,206584396,.,0.1228269858646626,+,m:1206,1268,m:198,205,m:95.11,m:96.59,0.9511041,0.96585363,1.0,-0.02,-0.0742230508607888,-0.0733180118040839,0.2217641135256616
chr1,206584396,206584397,.,1.0682575910271908,-,m:820,894,m:130,136,m:91.72,m:95.59,0.91722596,0.9558824,1.0,-0.0399999999999999,-0.1604230815640499,-0.0199735773415583,0.3408197404696582
chr1,206584407,206584408,.,1.1619269436978357,+,m:1132,1206,m:182,188,m:93.86,m:96.81,0.9386401,0.9680851,1.0,-0.03,-0.1414071306502387,-0.0122762478822492,0.2950905091827266
