CpG Index,chrom,start_hg38,end_hg38,start_T2T,end_T2T,name,ΔmC,score,rel_to_TSS_hg38,rel_to_TSS_T2T,Region,strand,Significant
82,chr1,207321760,207321762,206587056,206587058,CpG_82,0.6406140963014655,641,82,82,Promoter,+,True
79,chr1,207321739,207321741,206587035,206587037,CpG_79,0.62947919701353,629,61,61,Promoter,+,True
78,chr1,207321736,207321738,206587032,206587034,CpG_78,0.6266573621772505,627,58,58,Promoter,+,True
83,chr1,207321762,207321764,206587058,206587060,CpG_83,0.592463363572924,592,84,84,Promoter,+,True
55,chr1,207321383,207321385,206586679,206586681,CpG_55,0.5757152826238661,576,-295,-295,Promoter,+,True
80,chr1,207321741,207321743,206587037,206587039,CpG_80,0.5743196092114445,574,63,63,Promoter,+,True
73,chr1,207321709,207321711,206587005,206587007,CpG_73,0.5059621000142277,506,31,31,Promoter,+,True
70,chr1,207321693,207321695,206586989,206586991,CpG_70,0.5045359385903698,505,15,15,Promoter,+,True
110,chr1,207322018,207322020,206587314,206587316,CpG_110,0.48499651081646894,485,340,340,Promoter,+,True
101,chr1,207321935,207321937,206587231,206587233,CpG_101,0.4843291621216946,484,257,257,Promoter,+,True
61,chr1,207321527,207321529,206586823,206586825,CpG_61,0.47592463363572923,476,-151,-151,Promoter,+,True
81,chr1,207321757,207321759,206587053,206587055,CpG_81,0.4683094058902838,468,79,79,Promoter,+,True
85,chr1,207321774,207321776,206587070,206587072,CpG_85,0.4528960223307746,453,96,96,Promoter,+,True
87,chr1,207321778,207321780,206587074,206587076,CpG_87,0.45010467550593164,450,100,100,Promoter,+,True
50,chr1,207321312,207321314,206586608,206586610,CpG_50,0.4466764679977507,447,-366,-366,Promoter,+,True
88,chr1,207321782,207321784,206587078,206587080,CpG_88,0.4459176552686671,446,104,104,Promoter,+,True
86,chr1,207321776,207321778,206587072,206587074,CpG_86,0.43896977621799604,439,98,98,Promoter,+,True
67,chr1,207321633,207321635,206586929,206586931,CpG_67,0.4319609211444522,432,-45,-45,Promoter,+,True
56,chr1,207321388,207321390,206586684,206586686,CpG_56,0.42847173761339846,428,-290,-290,Promoter,+,True
89,chr1,207321786,207321788,206587082,206587084,CpG_89,0.4117236566643405,412,108,108,Promoter,+,True
62,chr1,207321534,207321536,206586830,206586832,CpG_62,0.4019844307888265,402,-144,-144,Promoter,+,True
66,chr1,207321611,207321613,206586907,206586909,CpG_66,0.38520586182833216,385,-67,-67,Promoter,+,True
51,chr1,207321316,207321318,206586612,206586614,CpG_51,0.3845080251221214,385,-362,-362,Promoter,+,True
34,chr1,207320991,207320993,206586287,206586289,CpG_34,0.37334263782274946,373,-687,-687,Promoter,+,True
109,chr1,207322015,207322017,206587311,206587313,CpG_109,0.3621772505233775,362,337,337,Promoter,+,True
69,chr1,207321670,207321672,206586966,206586968,CpG_69,0.3572923935799023,357,-8,-8,Promoter,+,True
84,chr1,207321771,207321773,206587067,206587069,CpG_84,0.35031402651779486,350,93,93,Promoter,+,True
64,chr1,207321551,207321553,206586847,206586849,CpG_64,0.3496161898115841,350,-127,-127,Promoter,+,True
37,chr1,207321127,207321129,206586423,206586425,CpG_37,0.348251004410599,348,-551,-551,Promoter,+,True
68,chr1,207321662,207321664,206586958,206586960,CpG_68,0.34263782274947663,343,-16,-16,Promoter,+,True
58,chr1,207321474,207321476,206586770,206586772,CpG_58,0.3405748006422808,341,-204,-204,Promoter,+,True
128,chr1,207322700,207322702,206587996,206587998,CpG_128,0.326709530552375,327,1022,1022,Gene Body / Downstream,+,True
77,chr1,207321733,207321735,206587029,206587031,CpG_77,0.3258897418004187,326,55,55,Promoter,+,True
103,chr1,207321949,207321951,206587245,206587247,CpG_103,0.3091416608513608,309,271,271,Promoter,+,True
52,chr1,207321332,207321334,206586628,206586630,CpG_52,0.30565247732030704,306,-346,-346,Promoter,+,True
