CpG Index,chrom,start_hg38,end_hg38,start_T2T,end_T2T,name,ΔmC,score,rel_to_TSS_hg38,rel_to_TSS_T2T,Region,strand
1,chr1,207318092,207318094,206583388,206583390,CpG_1,0.010559014627470376,11,-3586,-3586,Upstream Flank,+
2,chr1,207318412,207318414,206583708,206583710,CpG_2,0.010680966673215941,11,-3266,-3266,Upstream Flank,+
3,chr1,207318471,207318473,206583767,206583769,CpG_3,0.04769680011382191,48,-3207,-3207,Upstream Flank,+
4,chr1,207318809,207318811,206584105,206584107,CpG_4,0.027198693758087755,27,-2869,-2869,Upstream Flank,+
5,chr1,207318842,207318844,206584138,206584140,CpG_5,0.056744964396777786,57,-2836,-2836,Upstream Flank,+
6,chr1,207318856,207318858,206584152,206584154,CpG_6,-0.043645282149608056,0,-2822,-2822,Upstream Flank,+
7,chr1,207318881,207318883,206584177,206584179,CpG_7,0.004993258761915809,5,-2797,-2797,Upstream Flank,+
8,chr1,207318883,207318885,206584179,206584181,CpG_8,-0.03368925263721301,0,-2795,-2795,Upstream Flank,+
9,chr1,207318906,207318908,206584202,206584204,CpG_9,0.028018482510044074,28,-2772,-2772,Upstream Flank,+
10,chr1,207318932,207318934,206584228,206584230,CpG_10,0.025257623696637477,25,-2746,-2746,Upstream Flank,+
11,chr1,207318977,207318979,206584273,206584275,CpG_11,-0.03399413275157692,0,-2701,-2701,Upstream Flank,+
12,chr1,207319009,207319011,206584305,206584307,CpG_12,0.05823548940033468,58,-2669,-2669,Upstream Flank,+
13,chr1,207319100,207319102,206584396,206584398,CpG_13,0.014881537137785505,15,-2578,-2578,Upstream Flank,+
14,chr1,207319112,207319114,206584408,206584410,CpG_14,-0.021555024085529007,0,-2566,-2566,Upstream Flank,+
15,chr1,207319116,207319118,206584412,206584414,CpG_15,0.007652490870534379,8,-2562,-2562,Upstream Flank,+
16,chr1,207319651,207319653,206584947,206584949,CpG_16,-0.033997520308403195,0,-2027,-2027,Upstream Flank,+
17,chr1,207319939,207319941,206585235,206585237,CpG_17,-0.03366892729625537,0,-1739,-1739,Upstream Flank,+
18,chr1,207320084,207320086,206585380,206585382,CpG_18,-0.007967533655377057,0,-1594,-1594,Upstream Flank,+
19,chr1,207320502,207320504,206585798,206585800,CpG_19,0.04351316743338371,44,-1176,-1176,Upstream Flank,+
20,chr1,207320601,207320603,206585897,206585899,CpG_20,0.11852045068056016,119,-1077,-1077,Upstream Flank,+
21,chr1,207320725,207320727,206586021,206586023,CpG_21,0.06374704435666909,64,-953,-953,Promoter,+
22,chr1,207320825,207320827,206586121,206586123,CpG_22,0.08167738263809375,82,-853,-853,Promoter,+
23,chr1,207320868,207320870,206586164,206586166,CpG_23,0.1571047229317272,157,-810,-810,Promoter,+
24,chr1,207320873,207320875,206586169,206586171,CpG_24,0.05512909979064899,55,-805,-805,Promoter,+
25,chr1,207320878,207320880,206586174,206586176,CpG_25,0.13826313186403702,138,-800,-800,Promoter,+
26,chr1,207320880,207320882,206586176,206586178,CpG_26,0.1347434603215469,135,-798,-798,Promoter,+
27,chr1,207320882,207320884,206586178,206586180,CpG_27,0.16195909186376603,162,-796,-796,Promoter,+
28,chr1,207320884,207320886,206586180,206586182,CpG_28,0.2052859436717051,205,-794,-794,Promoter,+
29,chr1,207320886,207320888,206586182,206586184,CpG_29,0.22971022838908123,230,-792,-792,Promoter,+
30,chr1,207320888,207320890,206586184,206586186,CpG_30,0.20106843542300423,201,-790,-790,Promoter,+
31,chr1,207320890,207320892,206586186,206586188,CpG_31,0.14445219818562458,144,-788,-788,Promoter,+
32,chr1,207320892,207320894,206586188,206586190,CpG_32,0.12909979064898813,129,-786,-786,Promoter,+
33,chr1,207320932,207320934,206586228,206586230,CpG_33,0.26875859592544665,269,-746,-746,Promoter,+
34,chr1,207320991,207320993,206586287,206586289,CpG_34,0.37334263782274946,373,-687,-687,Promoter,+
35,chr1,207321008,207321010,206586304,206586306,CpG_35,0.06489881367759945,65,-670,-670,Promoter,+
36,chr1,207321032,207321034,206586328,206586330,CpG_36,0.21496419352434637,215,-646,-646,Promoter,+
37,chr1,207321127,207321129,206586423,206586425,CpG_37,0.348251004410599,348,-551,-551,Promoter,+
38,chr1,207321158,207321160,206586454,206586456,CpG_38,0.1702721563154222,170,-520,-520,Promoter,+
39,chr1,207321199,207321201,206586495,206586497,CpG_39,0.19196607023082812,192,-479,-479,Promoter,+
40,chr1,207321201,207321203,206586497,206586499,CpG_40,0.16329378925331473,163,-477,-477,Promoter,+
41,chr1,207321213,207321215,206586509,206586511,CpG_41,0.1793440334961619,179,-465,-465,Promoter,+
42,chr1,207321215,207321217,206586511,206586513,CpG_42,0.16681346079580486,167,-463,-463,Promoter,+
43,chr1,207321223,207321225,206586519,206586521,CpG_43,0.2135380321004885,214,-455,-455,Promoter,+
44,chr1,207321241,207321243,206586537,206586539,CpG_44,0.13677599441730634,137,-437,-437,Promoter,+
45,chr1,207321251,207321253,206586547,206586549,CpG_45,0.16678297278436846,167,-427,-427,Promoter,+
46,chr1,207321283,207321285,206586579,206586581,CpG_46,0.2812281926029309,281,-395,-395,Promoter,+
47,chr1,207321285,207321287,206586581,206586583,CpG_47,0.21772505233775297,218,-393,-393,Promoter,+
48,chr1,207321296,207321298,206586592,206586594,CpG_48,0.2909979064898814,291,-382,-382,Promoter,+
49,chr1,207321304,207321306,206586600,206586602,CpG_49,0.25331472435450103,253,-374,-374,Promoter,+
50,chr1,207321312,207321314,206586608,206586610,CpG_50,0.4466764679977507,447,-366,-366,Promoter,+
51,chr1,207321316,207321318,206586612,206586614,CpG_51,0.3845080251221214,385,-362,-362,Promoter,+
52,chr1,207321332,207321334,206586628,206586630,CpG_52,0.30565247732030704,306,-346,-346,Promoter,+
53,chr1,207321360,207321362,206586656,206586658,CpG_53,0.19818562456385205,198,-318,-318,Promoter,+
54,chr1,207321371,207321373,206586667,206586669,CpG_54,0.14305652477320308,143,-307,-307,Promoter,+
55,chr1,207321383,207321385,206586679,206586681,CpG_55,0.5757152826238661,576,-295,-295,Promoter,+
56,chr1,207321388,207321390,206586684,206586686,CpG_56,0.42847173761339846,428,-290,-290,Promoter,+
57,chr1,207321423,207321425,206586719,206586721,CpG_57,0.13956734124214934,140,-255,-255,Promoter,+
58,chr1,207321474,207321476,206586770,206586772,CpG_58,0.3405748006422808,341,-204,-204,Promoter,+
59,chr1,207321507,207321509,206586803,206586805,CpG_59,0.2274947662247034,227,-171,-171,Promoter,+
60,chr1,207321522,207321524,206586818,206586820,CpG_60,0.14584787159804605,146,-156,-156,Promoter,+
61,chr1,207321527,207321529,206586823,206586825,CpG_61,0.47592463363572923,476,-151,-151,Promoter,+
62,chr1,207321534,207321536,206586830,206586832,CpG_62,0.4019844307888265,402,-144,-144,Promoter,+
63,chr1,207321537,207321539,206586833,206586835,CpG_63,0.28960223307745986,290,-141,-141,Promoter,+
64,chr1,207321551,207321553,206586847,206586849,CpG_64,0.3496161898115841,350,-127,-127,Promoter,+
65,chr1,207321585,207321587,206586881,206586883,CpG_65,0.16893745892587347,169,-93,-93,Promoter,+
66,chr1,207321611,207321613,206586907,206586909,CpG_66,0.38520586182833216,385,-67,-67,Promoter,+
67,chr1,207321633,207321635,206586929,206586931,CpG_67,0.4319609211444522,432,-45,-45,Promoter,+
68,chr1,207321662,207321664,206586958,206586960,CpG_68,0.34263782274947663,343,-16,-16,Promoter,+
69,chr1,207321670,207321672,206586966,206586968,CpG_69,0.3572923935799023,357,-8,-8,Promoter,+
70,chr1,207321693,207321695,206586989,206586991,CpG_70,0.5045359385903698,505,15,15,Promoter,+
71,chr1,207321698,207321700,206586994,206586996,CpG_71,0.2693649685973482,269,20,20,Promoter,+
72,chr1,207321702,207321704,206586998,206587000,CpG_72,0.2826238660153524,283,24,24,Promoter,+
73,chr1,207321709,207321711,206587005,206587007,CpG_73,0.5059621000142277,506,31,31,Promoter,+
74,chr1,207321717,207321719,206587013,206587015,CpG_74,0.17864619678995114,179,39,39,Promoter,+
75,chr1,207321722,207321724,206587018,206587020,CpG_75,0.15631542219120725,156,44,44,Promoter,+
76,chr1,207321725,207321727,206587021,206587023,CpG_76,0.15771109560362875,158,47,47,Promoter,+
77,chr1,207321733,207321735,206587029,206587031,CpG_77,0.3258897418004187,326,55,55,Promoter,+
78,chr1,207321736,207321738,206587032,206587034,CpG_78,0.6266573621772505,627,58,58,Promoter,+
79,chr1,207321739,207321741,206587035,206587037,CpG_79,0.62947919701353,629,61,61,Promoter,+
80,chr1,207321741,207321743,206587037,206587039,CpG_80,0.5743196092114445,574,63,63,Promoter,+
81,chr1,207321757,207321759,206587053,206587055,CpG_81,0.4683094058902838,468,79,79,Promoter,+
82,chr1,207321760,207321762,206587056,206587058,CpG_82,0.6406140963014655,641,82,82,Promoter,+
83,chr1,207321762,207321764,206587058,206587060,CpG_83,0.592463363572924,592,84,84,Promoter,+
84,chr1,207321771,207321773,206587067,206587069,CpG_84,0.35031402651779486,350,93,93,Promoter,+
85,chr1,207321774,207321776,206587070,206587072,CpG_85,0.4528960223307746,453,96,96,Promoter,+
86,chr1,207321776,207321778,206587072,206587074,CpG_86,0.43896977621799604,439,98,98,Promoter,+
87,chr1,207321778,207321780,206587074,206587076,CpG_87,0.45010467550593164,450,100,100,Promoter,+
88,chr1,207321782,207321784,206587078,206587080,CpG_88,0.4459176552686671,446,104,104,Promoter,+
89,chr1,207321786,207321788,206587082,206587084,CpG_89,0.4117236566643405,412,108,108,Promoter,+
90,chr1,207321792,207321794,206587088,206587090,CpG_90,0.18283321702721564,183,114,114,Promoter,+
91,chr1,207321794,207321796,206587090,206587092,CpG_91,0.2212142358688067,221,116,116,Promoter,+
92,chr1,207321797,207321799,206587093,206587095,CpG_92,0.267271458478716,267,119,119,Promoter,+
93,chr1,207321810,207321812,206587106,206587108,CpG_93,0.09002093510118632,90,132,132,Promoter,+
94,chr1,207321823,207321825,206587119,206587121,CpG_94,0.20586182833217026,206,145,145,Promoter,+
95,chr1,207321854,207321856,206587150,206587152,CpG_95,0.18353105373342637,184,176,176,Promoter,+
96,chr1,207321858,207321860,206587154,206587156,CpG_96,0.2930914166085136,293,180,180,Promoter,+
97,chr1,207321879,207321881,206587175,206587177,CpG_97,0.19609211444521982,196,201,201,Promoter,+
98,chr1,207321882,207321884,206587178,206587180,CpG_98,0.2972784368457781,297,204,204,Promoter,+
99,chr1,207321886,207321888,206587182,206587184,CpG_99,0.26378227494766227,264,208,208,Promoter,+
