chrom,start,end,name,score,strand,samplea_counts,samplea_total,sampleb_counts,sampleb_total,samplea_percents,sampleb_percents,samplea_fraction_modified,sampleb_fraction_modified,map_pvalue,effect_size,cohen_h,cohen_h_low,cohen_h_high
chr1,206583089,206583090,.,-0.3141271305696946,+,m:21,27,m:9,12,m:77.78,m:75.00,0.7777778,0.75,1.0,0.0277777777777777,0.0654322264779985,-0.6145661713212007,0.7454306242771978
chr1,206583090,206583091,.,1.6692003461156837,-,m:19,19,m:10,12,m:100.00,m:83.33,1.0,0.8333333,0.2762640145441217,0.1666666666666666,0.8410687238799439,0.1183629666138179,1.56377448114607
chr1,206583173,206583174,.,0.0635423827152408,+,m:997,1112,m:470,516,m:89.66,m:91.09,0.8965827,0.91085273,1.0,-0.01,-0.0484078230340538,-0.0559915875782167,0.1528072336463244
chr1,206583174,206583175,.,0.8136576300871639,-,m:1154,1187,m:644,655,m:97.22,m:98.32,0.97219884,0.9832061,1.0,-0.01,-0.0751247900167726,-0.0202748848273818,0.1705244648609271
chr1,206583387,206583388,.,0.0819074733544766,+,m:836,1309,m:393,595,m:63.87,m:66.05,0.6386555,0.6605042,1.0,-0.02,-0.0457999189486073,-0.0511066588342596,0.1427064967314744
chr1,206583388,206583389,.,-0.3367668242913169,-,m:769,938,m:406,497,m:81.98,m:81.69,0.8198294,0.8169014,1.0,0.0,0.0075945855802967,-0.1011466912140818,0.1163358623746754
chr1,206583707,206583708,.,0.8087605846799306,+,m:1448,1536,m:634,685,m:94.27,m:92.55,0.9427083,0.9255474,1.0,0.0099999999999998,0.0693224600168527,-0.0207270754309293,0.1593719954646348
chr1,206583708,206583709,.,0.7065786472794571,-,m:1011,1067,m:528,568,m:94.75,m:92.96,0.9475164,0.92957747,1.0,0.0199999999999999,0.0748887081267488,-0.0269119514741211,0.1766893677276189
chr1,206583766,206583767,.,2.2983054108340184,+,m:1067,1208,m:509,554,m:88.33,m:91.88,0.88327813,0.9187726,1.0,-0.04,-0.1193133508742896,0.0187446839216374,0.2198820178269418
chr1,206583767,206583768,.,1.187691953673948,-,m:1043,1111,m:557,581,m:93.88,m:95.87,0.9387939,0.9586919,1.0,-0.02,-0.090649297069687,-0.0096974213800184,0.1909960155193925
chr1,206584104,206584105,.,0.5662112238278496,+,m:1293,1362,m:573,595,m:94.93,m:96.30,0.9493392,0.9630252,1.0,-0.01,-0.0670624442358289,-0.0292531186766609,0.1633780071483188
chr1,206584105,206584106,.,-0.2484793455496401,-,m:1073,1126,m:586,612,m:95.29,m:95.75,0.95293075,0.9575163,1.0,-0.01,-0.0221795985982975,-0.0762505341333316,0.1206097313299267
chr1,206584137,206584138,.,-0.0557786410645348,+,m:1725,1792,m:770,795,m:96.26,m:96.86,0.9626116,0.9685535,1.0,-0.01,-0.0326238685239896,-0.0508967570168567,0.1161444940648361
chr1,206584138,206584139,.,-0.317955834399072,-,m:919,1030,m:466,520,m:89.22,m:89.62,0.892233,0.89615387,1.0,-0.01,-0.0127475278459088,-0.0926896215825728,0.1181846772743905
